"","Canonical","NonCanonical","Atypical"
"262","IMPDH1","TMEM205","HCFC1"
"263","PTRH1","DNPH1","BOLA3"
"264","PDCD2L","CNIH4","ZNF473"
"265","SNHG15","RPS12","CAPN13"
"266","FAM107A","ARPC2","LRRC58"
"267","EXOSC4","SNF8","F2R"
"268","ETFDH","MRPL20","MT1E"
"269","ZCCHC2","RPL28","KRT19"
"270","TIMP1","RPL7","RPS3A"
"271","NTMT1","ARF5","RGS16"
"272","TSPAN7","POLK","KRT81"
"273","TOP1MT","ENY2","MYL12A"
"274","CDKL1","HAUS3","CAD"
"275","YDJC","H4C13","REXO1"
"276","PYCR1","VMA21","SLC4A2"
"277","CBX3","IL17RA","TOMM7"
"278","NAA10","EMC6","TMEM106C"
"279","UBE2T","FHIP2A","KIF4A"
"280","MRPS12","ELOC","SIX4"
"281","ENTPD5","RBM8A","TEAD4"
"282","PDE4DIPP2","PHACTR4","MACC1"
"283","RPL39","RPL21P44","SNTB1"
"284","CNIH4","PDE4DIPP2","STC1"
"285","SSBP1","MRPL33","RPS28"
"286","KIF1A","RPL7A","SLIRP"
"287","ATP1A2","EIF3M","KIF14"
"288","SP100","H2BC13","PTMS"
"289","RPA3","RPL13","PDGFB"
"290","MYH3","CMC4","KIF20A"
"291","BCL2","ALKBH7","LMTK3"
"292","FBXL17","H4C9","RPS12"
"293","PSMB7","RPS3A","RGS10"
"294","GLTP","MON2","EHMT2"
"295","E2F1","APRT","NOTCH4"
"296","ZNRD2","UQCRH","PPP1R16B"
"297","RPS2P47","SOD1","ZNF703"
"298","CA12","COX6A1","MEX3A"
"299","KAT2B","SERF2","COX17"
"300","H2AC17","UQCRB","TMEM67"
"301","SALL4","NDUFA8","TGIF2"
"302","MMP11","TOMM5","MYL12B"
"303","SNU13","COX17","RPS27"
"304","ANXA9","ATP5PD","HSD17B11"
"305","NUTF2","COA8","PDPN"
"306","RNF138P1","PPP1R12A","COL7A1"
"307","SNRPGP15","PSENEN","SNHG17"
"308","EIF3M","TBCA","RPS17"
"309","UBE2V1","NDUFB9","EPHX4"
"310","MCFD2","NDUFAF2","CPZ"
"311","LIMA1","ARAFP2","GPR161"
"312","ARPIN","ARGFXP2","TICRR"
"313","PSMB2","H4C15","TPT1"
"314","UGDH","TRAPPC2L","PHF14"
"315","GTF2F2","PDCD5","GBP6"
"316","SNX1","COMMD4","RPL10"
"317","GPAT3","FAM215A","SIM2"
"318","EFCAB11","EEF1D","ACAP3"
"319","TMCC3","CPEB3","MEI1"
"320","CBFA2T3","RPSAP52","TSPAN3"
"321","MRPL58","H4C2","TOP2A"
"322","VKORC1","GTF2H5","RPLP2"
"323","MYOT","KANSL3","MT1H"
"324","RNASEL","MRPS12","GNA12"
"325","LINC00294","APAF1","STARD10"
"326","CHCHD6","KIAA2026","GPR15LG"
"327","RAB27A","PARK7","MCM10"
"328","EEF1D","SP2","SNORA53"
"329","ABCA5","COX7B","RPS27A"
"330","EEF1AKMT1","ICE2","TMEM125"
"331","TEX30","MRPL27","SPINK2"
"332","IAH1","H2BC9","TDP2"
"333","MAMDC2","NACA2","KIRREL3"
"334","SYTL2","RSF1","MT1F"
"335","LEMD1","MRPS18C","ST6GALNAC6"
"336","PDE8A","LINC01198","B3GALT4"
"337","GFRA2","ATP5MK","RPS14"
"338","TOMM5","H4C8","PLA2G10"
"339","AGL","MED12","ELK3"
"340","CTSS","GADD45GIP1","ZNF514"
"341","ST6GALNAC6","BID","CLEC10A"
"342","PITX2","ZNF460","RPL19"
"343","C7orf50","NPAP1","SCARNA17"
"344","LINC00891","HEBP2","UBA52"
"345","CADM3","DYNLT1","SLCO4A1"
"346","PRDX4","TRAFD1","TNFSF15"
"347","ROMO1","H2AC8","PLAC9P1"
"348","PHLPP2","TOMM22","NOX4"
"349","ANKRD20A11P","H4C5","RPLP1"
"350","SNHG32","SAMD4B","RIOK3"
"351","ROR1","AKNA","TPSG1"
"352","PPP1R14B","BTAF1","SHCBP1"
"353","TET2","MRPL21","RPS23"
"354","SEMA4G","RPS2","CCL24"
"355","ANK3","SNRPG","ADGRL4"
"356","MTHFD1L","RPL13AP3","UGP2"
"357","PPP2R3A","RTRAF","SDSL"
"358","SST","MRPL54","TMEM141"
"359","CBLN2","UBXN1","STRA6"
"360","ZNF791","RPL17","NDUFS5"
"361","DYNLRB1","NDUFB10","FOXM1"
"362","ADAMTSL1","RPP25L","TLN1"
"363","NKX2-2","RFX3","DPEP1"
"364","CDC14A","CLPP","GABPB1-IT1"
"365","MAD2L2","H2BC17","EAF2"
"366","HERC3","POLR1H","POLR2L"
"367","CCDC68","FAM174C","CA2"
"368","OR8D4","CCDC167","ARID3A"
"369","PLCL2","HERC4","PLEKHS1"
"370","ZNF593","SNRPE","CA7"
"371","FAM241B","MRPL36","NYX"
"372","EP300","TPT1","CSPP1"
"373","MRPL52","HIKESHI","COL5A3"
"374","H2AC4","TMEM14C","NDUFV2"
"375","LY6G6D","KIDINS220","SCGN"
"376","PTP4A3","H2AZ2","ECI2"
"377","CDCA5","NDUFB8","COL12A1"
"378","FAM174C","EN2","POLQ"
"379","CXCL1","RPA3","PAQR4"
"380","ZFP91","PTRHD1","CBX8"
"381","MILIP","SNORD15A","KRT73"
"382","PDE7B","SNORA23","CFI"
"383","INSM1","CISD1","CD52"
"384","RPL36","H3C13","STX1A"
"385","UBE2NL","SMC5","MED12"
"386","CAPN13","C9orf163","RPS8"
"387","NOPCHAP1","SNRPF","SULT1A2"
"388","KCNMA1","TMSB4X","H3-4"
"389","BEST2","S100A6","KIF18A"
"390","UBE2I","TEN1","GPRIN1"
"391","P2RX1","COX6C","UCN2"
"392","UST","TMEM160","RPS11"
"393","APPL2","PPP1R14B","RPS27L"
"394","TAPT1","HIGD2A","NCAPG2"
"395","ACADS","EP400","TXN"
"396","TBC1D16","TSPO","EEF1A1"
"397","SLC26A7","SHPRH","SPSB4"
"398","RPP21","POLR2J2","ADAMTS6"
"399","H2BC15","LINC01000","RPS18"
"400","CDCA3","H3C4","ATAT1"
"401","PHLPP1","PRRC2A","AGR2"
"402","TMEM258","DLGAP1-AS1","RPL31"
"403","PRDX1","CCNK","TMEM30B"
"404","RPS2P32","FDX2","FAM3D"
"405","KCNJ6","H2AC21","CRB3"
"406","SULT2B1","HIPK2","PITX2"
"407","TMEM161A","TLN1","C16orf89"
"408","SMIM14","LAMTOR5","ANG"
"409","KLF7","PURA","DBI"
"410","PDRG1","CDK17","MT1L"
"411","RPL39P5","SNHG6","ANXA9"
"412","H2AC12","ARPC3","CDH13"
"413","HSPE1","EIF4E2","NDUFA4L2"
"414","MAGOHB","TMEM256","RPL27"
"415","EIF2AK3","RPS8","GUCA2B"
"416","UNC5C","GBP6","PLAGL2"
"417","FGFR2","IGFL2-AS1","H1-2"
"418","FUCA1","LYRM4","POLR2J2"
"419","MMP7","NDUFAB1","CYB5A"
"420","THBS2","NUDT1","IGFL2-AS1"
"421","YTHDC1","LINC01004","PHLDA1"
"422","SELENOH","GSTP1","HSP90AB2P"
"423","MAGI3","CLN8","AKR7L"
"424","PTGDR","PGLS","HKDC1"
"425","RPS7P5","GPN1","XBP1"
"426","CHCHD2","RAD23A","RPL23A"
"427","CHMP1B","FIS1","RPL24"
"428","CNNM4","SKP1","S100A6"
"429","DHRS11","EXOSC1","SHISA4"
"430","MSANTD3","TAOK3","TSTD1"
"431","SLC16A12","RPLP1","MT1B"
"432","APAF1","MRPL23","CIT"
"433","LILRB5","ORMDL2","COL4A1"
"434","ADAMDEC1","MALSU1","RPS6"
"435","DPCD","ZNF430","FANCB"
"436","FBLIM1","POLE4","ZNF430"
"437","NLE1","SNHG32","CKAP2"
"438","CLDN23","CASP8AP2","TMEM81"
"439","LOC285097","SRP14","CA1"
"440","PAPSS2","MRPS36","ASAP1"
"441","RAE1","TMSB4XP8","TUBB3"
"442","AKNA","IWS1","EEPD1"
"443","H2AC21","RAB1B","LOC100506253"
"444","CPT2","TXN","RPS24"
"445","SH2B1","PSME2","ADAT1"
"446","EXPH5","RPPH1","RPS15A"
"447","PLCD3","CKS1B","RPL38"
"448","TMEM208","OCIAD2","RPL36AL"
"449","SPG11","SMIM26","UGDH"
"450","ANAPC11","MRPL58","ACTN3"
"451","DUSP14","LAGE3","RPL37"
"452","RFX6","SAP30L-AS1","PIK3R3"
"453","TRAPPC2L","LBHD1","LRRN2"
"454","FAM86B2","TMEM131","NBL1"
"455","PTPN18","VAMP8","RPL32"
"456","BRPF3","NDUFC1","MT1G"
"457","BZW2","MRPL47","RRP1"
"458","BOLA2B","VPS39","EEF1B2"
"459","HAGLR","H4C12","TONSL"
"460","H2AC15","NDUFB3","IER5L"
"461","RYR3","NPHP3","GNL3L"
"462","NTAQ1","RNF7","ATP8B1"
"463","MIER1","H2AC7","SPRY4"
"464","ANGPT2","FKBP2","F2RL2"
"465","ANKRD20A21P","NDUFS6","GPSM2"
"466","CA2","SF3B6","MROH7"
"467","CTSH","MYDGF","GCG"
"468","H2AC7","H2AC4","LOC401127"
"469","MAN2A1","H4C11","TENT5C"
"470","FBL","ATN1","LY86"
"471","CTHRC1","MOCS3","TMEM88B"
"472","CCDC86","MAGI1","CEP152"
"473","CBX8","KMT2E-AS1","CPNE7"
"474","ARHGAP36","CWC15","NEK2"
"475","SPPL2A","MGRN1","ARK2C"
"476","CALM1","LSM10","MICOS10P1"
"477","NXT1","ADCY6","FEV"
"478","SNRPG","RAPGEF1","LCE1D"
"479","H2AC14","AP2S1","FAP"
"480","PPIAP80","C6orf89","SNX24"
"481","SMPD1","PSMA6","BEST2"
"482","PSMA2","SMIM30","CALML4"
"483","PPARGC1B","PSMA2","RPL35A"
"484","TRAPPC8","VKORC1","CLDN3"
"485","KLHDC1","PAM16","LINC00941"
"486","PVT1","MRPL14","RPL37A"
"487","ZFYVE28","DGUOK","ADH1C"
"488","ASAP2","USP34","AFAP1L1"
"489","ARHGAP44","CHCHD1","ZC3H18"
"490","BCAP31","PFDN4","FHL1"
"491","RETSAT","H3C8","ADAMTS7"
"492","RIC3","TNPO1","PRKDC"
"493","MLXIP","GAPDH","CHCHD10"
"494","MRPS14","MORC2-AS1","CD93"
"495","ENPP6","KATNIP","SDF2L1"
"496","CCNB1IP1","ARPIN","MGC32805"
"497","SNORA23","CHCHD2","MOCS3"
"498","BMP2","RPS9","PPP1R14A"
"499","MACC1","ZNF593","ATP5F1E"
"500","CHGB","RPL4","HAUS5"
"501","ZNF91","FAM193A","RPL23P8"
"502","PLXNA2","IFI27L2","TROAP"
"503","RPL35","SNORD3B-1","DGAT2"
"504","COPRS","MDP1","ROBO4"
