"","Canonical","NonCanonical","Atypical"
"201","DNAJB13","ADAMTS15","ADIPOQ"
"202","SPACDR","CLEC4D","YWHAEP7"
"203","MAPK8IP1","GYS2","SNAP25"
"204","MAP1LC3C","HS3ST5","PATE1"
"205","TYR","SYN2","WNT10B"
"206","LINC00308","HES7","PLG"
"207","TAS2R38","ACTL7B","SPANXN2"
"208","HTR3D","ITGA2B","GCM2"
"209","C5orf60","OTOP2","TSKS"
"210","PRDM9","HS6ST3","NHS"
"211","NBPF22P","SRPX2","C15orf40"
"212","LAMTOR2","LYNX1","FOXI3"
"213","HSPB7","NOX3","OPRPN"
"214","RAD51D","GDF7","FBN3"
"215","SPOCD1","OR5D14","ARRDC5"
"216","NECAB2","OR2W5P","CLEC2D"
"217","C16orf82","RIDA","ESX1"
"218","LCE1A","GPAT4","NXPH4"
"219","KRT35","KASH5","OR1J2"
"220","TRIM50","LRRC3B","VSX2"
"221","SPMIP10","NINL","UPK2"
"222","CKM","LINC01879","SYDE1"
"223","DENND1C","UBR5","RGS9BP"
"224","MAP3K10","PARS2","DCST1"
"225","CRHR1","TNNI3K","GPBAR1"
"226","TMEM105","MBLAC1","HEPN1"
"227","ETV3L","CLVS1","CBLN3"
"228","KCNE2","CORO2B","CUX2"
"229","SPRR4","PIK3R5","CUBN"
"230","TMEM129","ATG4B","MAML1"
"231","PTPRS","OR56B1","TMED2"
"232","RBFOX3","EPPIN","ART5"
"233","SYDE1","SH2D7","TAS2R38"
"234","TSKS","CHRM1","OSBP2"
"235","GDPD4","TMEM229A","DDX50"
"236","CACNG3","ARHGAP20","SYT6"
"237","GGN","RENBP","ELAVL3"
"238","TLCD3B","SGCD","PRSS38"
"239","ROS1","SEC1P","KRTCAP2"
"240","POU6F2","EXTL1","SLC9C2"
"241","ALDOAP2","NHS","KIR3DX1"
"242","GIPC3","KLK14","CLVS1"
"243","WNT7A","OTX1","OR4K17"
"244","SLC8A2","TPSD1","BPIFB3"
"245","HEPHL1","CSPP1","C10orf53"
"246","SFMBT2","AKT3","PDZD9"
"247","DCTD","LINC00268","OR8D1"
"248","MYO18B","CBLN3","OC90"
"249","TEX55","CYRIB","PHF21B"
"250","NUTM1","EPPK1","NUTM2A"
"251","TLR6","RSPH6A","C5orf64"
"252","MIOX","CACNG3","ULBP3"
"253","YY2","HNRNPM","PXT1"
"254","GARIN5B","LY6G6C","CCDC177"
"255","TSPOAP1","IQCJ","RGN"
"256","NINL","LINC00856","ATP11AUN"
"257","CACNG7","SNHG12","LRRC3B"
"258","STH","IKBKB","OR10A3"
"259","PATE1","PPIL6","MYOG"
"260","RARS1","RASSF5","C12orf42"
"261","DEFB114","OR4C6","OR5W2"
"262","NR5A1","SYT6","LOC442028"
"263","COPS2","CEACAM21","C15orf62"
"264","BPIFA2","UPK2","NECAB2"
"265","IFNW1","ALG14","HRH2"
"266","LEFTY2","UNC5B","OR12D2"
"267","SP7","FANCD2OS","LOC339059"
"268","MYH7","MRPS31","LINC00308"
"269","ABCC6P1","PIK3CD","NBPF22P"
"270","PDGFB","FCRL1","GRXCR2"
"271","CRLF1","BSN","SP7"
"272","UBE2D3","CIMIP2B","OTOS"
"273","FBN3","RGS9BP","HS3ST5"
"274","SCN10A","PRKCH","AWAT2"
"275","TMEM89","SVOP","HS6ST3"
"276","GDF7","KRTCAP2","ABCC1"
"277","FAM186A","ZRANB2","OR2J2"
"278","RCVRN","CUBN","DNAAF1"
"279","KCNJ9","PAPSS1","SPMIP9"
"280","TCF15","LUZP4","TNFRSF8"
"281","PRR29","TPTE2P1","PIK3CD"
"282","HABP2","PNCK","DYDC2"
"283","ST8SIA5","AKAP11","OR6N2"
"284","ABHD8","HCRTR1","HRH3"
"285","FUT1","ADM5","BSN"
"286","DEFB132","SPEG","ODAPH"
"287","SPRY3","KCNK12","MAEL"
"288","OR10A7","OR14J1","FANCD2OS"
"289","PRKN","ADRA2A","MYOZ1"
"290","LACTB","PPBPP2","SLC25A18"
"291","C5orf64","NTAQ1","PRR21"
"292","CNR2","DNAH3","NIBAN1"
"293","CLXN","TLR9","IL9R"
"294","ADIPOQ","TCTE1","KY"
"295","MAT2B","TNFRSF10D","CPN2"
"296","TMEM14C","MIR17HG","IQCJ"
"297","EFCC1","ODAPH","CHERP"
"298","CAMK1G","TRIM46","CELSR1"
"299","HSP90AB5P","OR10J1","STH"
"300","CCDC177","SPRN","ACTR6"
"301","OR4K17","MESTIT1","FADS6"
"302","PPFIA2","NCLN","OR52M1"
"303","DNAH9","B4GALNT3","ASPDH"
"304","NHLH1","IFNW1","HMCN2"
"305","RFPL3","OR51T1","BOC"
"306","PDZD9","PEX5","OR4D5"
"307","LHFPL4","SLC35F6","TNR"
"308","DYDC2","SUCLA2","FLACC1"
"309","GREB1","LDHB","CRHR1"
"310","SYN2","GALP","GDAP1L1"
"311","FEV","KHDC4","BYSL"
"312","KRT81","OR2J2","NR0B1"
"313","CCDC13","KIR3DX1","PCDHGC5"
"314","UCP2","NR0B1","ATP5PB"
"315","C10orf53","VSTM2B","NDUFS2"
"316","ULBP3","NCR1","PNCK"
"317","SEC14L4","OR51A7","HAND1"
"318","OR8S1","MRPL13","UBE2D3"
"319","AMER3","MAP2K2","CCDC27"
"320","PKNOX2","OSTN","OR8S1"
"321","LINC02447","MMP25","GYS2"
"322","OR52B6","GPC3","FAM228A"
"323","PRB1","EPHA2","QPCTL"
"324","WNT9B","CHAD","IL27"
"325","SCOC","OR5B21","ALG5"
"326","FRA10AC1","SLC25A32","PAPSS1"
"327","GPIHBP1","SLC6A15","RAB37"
"328","POM121L8P","PIP5K1A","PAK3"
"329","IQSEC2","ECHDC1","ABCC8"
"330","ALX4","DAO","TEX55"
"331","SLC6A13","KLF10","NLRP10"
"332","INS","PCID2","DNAJC5G"
"333","HEPN1","DDX50","DLL1"
"334","TAFA1","CBX6","HK1"
"335","FIGLA","ZNF208","CLDN9"
"336","ITGA10","OR4K2","ZNF843"
"337","LRRC52","TEX44","FEZF2"
"338","TMED3","SCNN1G","LINC00315"
"339","NXPH4","SYNJ1","PCDHA4"
"340","NUDT9","METTL24","GORASP1"
"341","LGALS14","BOP1","TMEM14C"
"342","JTB","TRIB1","ZNF256"
"343","ATP5F1B","FAM131C","MYCBPAP"
"344","KIRREL1","PRR21","FAM186A"
"345","CFAP52","NDUFB9","LINC00473"
"346","ZNF600","CCBE1","UCP2"
"347","SLC30A2","OR8D1","ACSM5"
"348","ELAVL3","NAPSA","PFAS"
"349","PANX2","PRRG1","OR6C70"
"350","ACSM5","LOC284912","OTOP2"
"351","OR4X2","H2AC25","MYO18B"
"352","TRAPPC3","FAM168A","CCDC13"
"353","TTC9B","FRRS1L","KCNE2"
"354","RWDD4","OR52M1","RWDD4"
"355","KPNA7","TREML4","CKM"
"356","KCNIP3","PHF21B","JAKMIP3"
"357","ATP6V0B","HAS1","FAM225A"
"358","ZFHX2","AJAP1","PLCB2"
"359","BPIFB3","GRINA","PNLIPRP1"
"360","GBX2","GSX2","NYAP1"
"361","PIP5KL1","LUC7L3","LCN8"
"362","C5orf52","PRSS38","TAFA1"
"363","ABCC8","ANKRD10","CLEC4F"
"364","NUTM2A","SLC12A4","TMEM130"
"365","PKD1L2","ADAT2","TOR3A"
"366","MLIP","RRP12","TIE1"
"367","SLC26A8","ACBD7","MIOX"
"368","NPPA","B4GALNT1","GARIN5B"
"369","NKD1","HRH3","SYCN"
