"","Canonical","NonCanonical","Atypical"
"602","SLC17A1","TRIM54",NA
"603","MASP1","DHRS7C",NA
"604","OR56A1","LRRTM4",NA
"605","TMEM244","CDH8",NA
"606","KCNJ6","ANKRD34A",NA
"607","NPY1R","GLP1R",NA
"608","OTOP2","RHAG",NA
"609","PASD1","FAM27E5",NA
"610","HCN1","ZNF365",NA
"611","C6","ADAM11",NA
"612","HBB","GJB7",NA
"613","HYDIN","MPO",NA
"614","VGF","BEND4",NA
"615","OR2J2","LCE1B",NA
"616","LINC00552","CPT1C",NA
"617","VWA5B2","CAPN11",NA
"618","PAGE1","RPH3A",NA
"619","TRIM72","FAM170A",NA
"620","PLPPR5","C4BPB",NA
"621","TSPAN16","OR1B1",NA
"622","CNTNAP4","IGSF5",NA
"623","GBX2","PCBP3",NA
"624","SULT2A1","ANKUB1",NA
"625","LCN10","SLC22A16",NA
"626","OR5H14","RNF17",NA
"627","CIB4","ERICH3",NA
"628","BRINP1","PCDH10",NA
"629","ADGRB3","MC3R",NA
"630","RSPO1","GREB1",NA
"631","CLECL1P","OR2W5P",NA
"632","TDRD12","OR1L1",NA
"633","KCND3","ADAM29",NA
"634","PCDHB6","THPO",NA
"635","SPPL2C","SERPINB11",NA
"636","WDR87","SLC17A6",NA
"637","CABP2","MASP1",NA
"638","FAM131B","GSG1",NA
"639","TPSD1","ALDH3A1",NA
"640","OR1B1","ADGRG4",NA
"641","SPP2","CKS2",NA
"642","OPCML","TYR",NA
"643","PDHA2","SERPINA11",NA
"644","MAS1","OR8S1",NA
"645","AMER3","IGSF10",NA
"646","GGH","APOA4",NA
"647","TF","CGA",NA
"648","CGA","H2BW1",NA
"649","LUZP2","SPPL2C",NA
"650","CFAP95","DIRAS2",NA
"651","NCR1","CREB3L3",NA
"652","PCDHA3","ADAMTS16",NA
"653","IGSF11","RSPO4",NA
"654","OR10A3","NANOS3",NA
"655","SEMG2","ENKUR",NA
"656","PRDM16","HPN",NA
"657","MC4R","KIAA2012",NA
"658","ZFP57","PAGE4",NA
"659","MYO3A","LRRC74A",NA
"660","SNORD9","NPAS4",NA
"661","SLC15A2","N4BP3",NA
"662","GHR","MLIP",NA
"663","PGM5","ATF7",NA
"664","SLC26A9","OLAH",NA
"665","TCHHL1","HS3ST6",NA
"666","OR10S1","GGH",NA
"667","SVOP","CABP2",NA
"668","GPT","TNFRSF12A",NA
"669","TTTY12","C15orf32",NA
"670","MYF6","ATP2B2",NA
"671","FNDC7","GLT6D1",NA
"672","OR1L1","IL5",NA
"673","ANLN","PAPOLB",NA
"674","GP2","PAQR9",NA
"675","OR4E2","BIRC8",NA
"676","CFAP251","SCP2D1",NA
"677","CETN1","OR2S2",NA
"678","CCN5","SPATA8",NA
"679","GYPB","FBXO24",NA
"680","JAKMIP3","TXNDC8",NA
"681","LVRN","B3GNT6",NA
"682","NLGN1","LAMA1",NA
"683","TSPEAR","SLC24A2",NA
"684","TP53AIP1","OR10Q1",NA
"685","ARG1","ZFP42",NA
"686","ATP4B","DISP3",NA
"687","ITGAD","GPT",NA
"688","IL5","OR13J1",NA
"689","LRTM1","ST8SIA2",NA
"690","GATA4","OR5T1",NA
"691","PHF21B","PASD1",NA
"692","RGR","ANKRD13B",NA
"693","MUC21","MEPE",NA
"694","OSTN","OR5M9",NA
"695","SLC13A5","RSPH6A",NA
"696","IGSF10","PHF21B",NA
"697","FMR1NB","CDC20B",NA
"698","MS4A5","ADORA1",NA
"699","DAO","PRDM16",NA
"700","ABCA8","PCARE",NA
"701","SRCIN1","CMA1",NA
"702","CNTN2","LOC100131943",NA
"703","NXPH4","LINC02843",NA
"704","NOX5","OR4K1",NA
"705","ASIC5","SEZ6L",NA
"706","LINC02880","GATA4",NA
"707","COL4A6","KCNJ1",NA
"708","BMP3","MS4A15",NA
"709","PTCHD4","OR4A5",NA
"710","INSL4","MGAT4C",NA
"711","PPP6R1","SLC26A9",NA
"712","FMO2","COL18A1",NA
"713","PSG3","ENAM",NA
"714","SLITRK2","CDH12",NA
"715","PDYN","PCDHA3",NA
"716","TEX36","OR5K4",NA
"717","C15orf32","SLC2A7",NA
"718","CST6","C16orf89",NA
"719","MYADML2","NT5C1A",NA
"720","RBM24","HTR3B",NA
"721","BTG4","FNDC7",NA
"722","KCNF1","KHDRBS2",NA
"723","RIPPLY2","NLRP7",NA
"724","LRRC10B","CAPZA3",NA
"725","LDHD","IRX4",NA
"726","GRM3","PCDHAC2",NA
"727","KRT84","LRRC14B",NA
"728","OR2AK2","OR8G5",NA
"729","FOXD3","DYNLT5",NA
"730","ADGB","PDYN",NA
"731","SCN10A","LINC00161",NA
"732","TMEM130","BARHL2",NA
"733","IGKC","MYOC",NA
"734","P4HA3","ASTN1",NA
"735","MYT1","SPX",NA
"736","NXPH2","IGFL3",NA
"737","OR1C1","ANO4",NA
"738","OR5M9","MARCHF11",NA
"739","KRT79","KCNG2",NA
"740","CNR1","CFAP126",NA
"741","CATSPER4","MS4A5",NA
"742","HKDC1","GTSF1L",NA
"743","SCNN1G","BFSP2",NA
"744","OR52E6","PSG3",NA
"745","RGS21","OR5D14",NA
"746","OR4F6","NELL1",NA
"747","GATA5","SMTNL2",NA
"748","SLC27A6","VWA5B2",NA
"749","SLC8A2","OR10H5",NA
"750","CNTFR","MUC16",NA
"751","OR5J2","OLIG2",NA
"752","SERPIND1","CDRT15",NA
"753","RSPO4","MDFI",NA
"754","KCNK10","MSLN",NA
"755","TAS2R16","MYLK3",NA
"756","ADAMTS16","OR10T2",NA
"757","GUCY2D","TAS2R16",NA
"758","UNC5D","CNTN1",NA
"759","CYP2F1","FETUB",NA
"760","SLC30A10","LILRP2",NA
"761","PKNOX2","PABPC5",NA
"762","AKR1B15","TP53AIP1",NA
"763","SNORA12","ESR2",NA
"764","TBXT","IZUMO1",NA
"765","OR52A5","OR4A16",NA
"766","GDAP1L1","TPSD1",NA
"767","OR52E8","SGSM1",NA
"768","SOHLH1","SLC8A2",NA
"769","MSLN","HCN1",NA
"770","OR56A5","FOXG1",NA
"771","TRPM8","OR52E6",NA
"772","OR10A7","LVRN",NA
"773","FETUB","DYDC2",NA
"774","MDFI","EWSAT1",NA
