"","Canonical","NonCanonical","Atypical"
"421","SLC16A1","TIMP1","BMAL2"
"422","RPS3A","SLURP1","PDGFRB"
"423","APOL3","IL4I1","PLAAT4"
"424","ZEB1","RAB25","ZNF467"
"425","TMEM177","CDH19","BIRC3"
"426","SEZ6L2","CEBPA","OR52N4"
"427","PNPLA7","HERC5","OAS3"
"428","IFNE","C19orf47","BICDL1"
"429","SPACA6","LRRC8C","EID2"
"430","SEPTIN1","RAB31","CCDC68"
"431","KLRC3","VASN","UPK1A"
"432","CFLAR","SH2D1B","TMEM177"
"433","CSMD3","DCBLD2","CDCP1"
"434","TREM2","STAT1","DACH1"
"435","RBMS3","FMO1","NRP2"
"436","GPR87","SLAMF7","HDHD3"
"437","ALDH2","MUC20","NPPA"
"438","FCGR3A","ARHGAP29","EVA1B"
"439","GPR160","SRSF8","IQCF5"
"440","HSD17B12","RAVER2","CTSL"
"441","PPM1H","TLR1","GPX8"
"442","LRFN3","GGH","ZNF540"
"443","C19orf38","ZNF569","S100A2"
"444","SYT12","ANGPT1","HPS3"
"445","GDF5","UBE2Z","GLI3"
"446","LNX2","ENTPD1","ANXA1"
"447","TNFSF14","DCTPP1","CYP24A1"
"448","DCBLD2","MMRN2","ABCB9"
"449","ATP8B2","HSD11B2","SPACA6"
"450","MYO1G","CCDC68","DTX4"
"451","TRIM69","TGFB1","C19orf47"
"452","IDH3A","SCO2","AOC1"
"453","RAB42","MT2A","ZNF569"
"454","BTN3A1","COQ8A","CLEC12A"
"455","IGSF6","GPR65","SUSD2"
"456","CEBPA","RRAS","CLDN3"
"457","ADAM28","MMP2","SPINT2"
"458","ZNRF4","CTIF","CD244"
"459","ESRP1","KIF25","PPP1R1B"
"460","SIN3B","P2RY13","C19orf33"
"461","EPHA3","LRFN3","SLC12A2"
"462","IFNLR1","MAP3K12","ADGRA3"
"463","OR2A14","LY6E","RRAS"
"464","DENND6B","SCN9A","HOXB2"
"465","EIF1AX","TRIM21","ENTPD1"
"466","DHFR","GLI3","HOOK1"
"467","ATF1","VGF","TRPS1"
"468","SPMIP7","FAM3C","RFX5"
"469","CLECL1P","YIF1B","VAV1"
"470","DENND1C","TFPI","OVOL1"
"471","CRMA","PER1","TM6SF1"
"472","UQCRC2","ARID2","PLAT"
"473","ARHGEF17","TNFSF13B","IL18BP"
"474","LOC154761","CHST3","TBCB"
"475","MSRB3","VIM","TMSB10"
"476","VASN","APOBEC3D","CNPY4"
"477","MXD4","NIPSNAP2","GGCT"
"478","IL4I1","MSMO1","TRAF3IP3"
"479","RPL5","GNGT2","RPL10A"
"480","DNAJA2","DTX4","SPATS2L"
"481","NCR3","TRANK1","TMEM140"
"482","EIF4E2","ACKR4","TWSG1"
"483","RAVER2","CCDC198","SPHK1"
"484","MARVELD3","CD70","CAPRIN2"
"485","P2RY13","OVOL1","ACVR1B"
"486","TRAF1","SHOX2","COL7A1"
"487","CCDC168","VAV1","SLC44A3"
"488","ABCA9","HVCN1","BBX"
"489","ACTBL2","TRIM69","IL13RA2"
"490","NKAPD1","PDCD1","TENM4"
"491","YARS2","TMEM45A","PCDHA13"
"492","MAK","MFAP4","PPM1H"
"493","GAS7","MYO1G","CAV2"
"494","MMAB","RPS3A","FLNB"
"495","VASH1","FAM27E5","APOL3"
"496","CYP11B1","THEMIS2","SERPINB9P1"
"497","HOOK1","NAB2","TAP1"
"498","PKD2L1","ACTBL2","ADAM28"
"499","GPR174","FPR1","SMCHD1"
"500","PNP","HDHD3","ARHGAP30"
"501","CDS1","LRIF1","HAP1"
"502","CHST11","MT1M","NOX4"
"503","HADH","CST7","ST3GAL5"
"504","FCGR2A","EFEMP2","IFNE"
"505","ZNF540","RFTN1","SH2D1A"
"506","ITGAM","TRIM22","GPR160"
"507","GPSM2","RAB34","PLEKHO2"
"508","CPLX1","CXCL9","SLC25A45"
"509","TGM2","NR1I2","TNFRSF1A"
"510","ABCG8","TRO","STAP2"
"511","JAK3","LNX2","ARHGEF10L"
"512","HCG9","PRR15","KIF25"
"513","GINS2","PACS1","SLC15A3"
"514","EPB41L4B","CAMSAP3","CXCR5"
"515","IKBIP","TMEM198","FAM78A"
"516","RPL7","SH2D3C","CFL2"
"517","S100A2","GAS7","RGSL1"
"518","FPR1","NOX4","KCNQ1"
"519","PDP2","PARP14","MSRB3"
"520","SH2D3C","SCIMP","MT2A"
"521","CEP85L","TMEM106A","CHRNA2"
"522","EBP","GPSM2","PSENEN"
"523","TLR1","CXCL10","TRO"
"524","RGS1","ANGPTL4","IL21R"
"525","LCE1A","DDX20","WNT7B"
"526","ETFA","ITGA3","PTPRT"
"527","WDR3","IL13RA2","IL4I1"
"528","DOCK10","SYT12","TIMM50"
"529","SLC11A1","FAM133A","NCK1"
"530","ACADL","SIGLEC7","DIO2"
"531","AGMAT","PLEKHG2","SHISA3"
"532","LAMTOR5","BIN2","FLT3LG"
"533","TFAP2D","ASPHD1","DKK3"
"534","ZNF438","RAC2","IFI44"
"535","COX20","GPNMB","BAZ2A"
"536","CST6","TXNDC16","BSND"
"537","CHCHD2","TNFSF14","AHNAK2"
"538","SMC2","SLC15A3","PALLD"
"539","C1S","AIF1","IGFBP1"
"540","TXNDC16","TGM2","GATA6"
"541","GPR65","PLAAT4","OVGP1"
"542","FAM133A","CD59","ACP4"
"543","HMGCR","ANKRD1","TMEM106C"
"544","PPP1R18","GPR35","RPL38"
"545","TGM5","NECAP2","DTX3L"
"546","STARD8","PAK4","UACA"
"547","GRM3","LDOC1","TFPI"
"548","TRANK1","TWF2","EVL"
"549","MYBPC2","WDFY4","NFKBIB"
"550","AP3S1","ARHGEF17","PLAU"
"551","HVCN1","RASGRP1","DCLK1"
"552","PER1","TNFSF12","SMCO2"
"553","GFPT2","TRPS1","TMC4"
"554","FAM162B","POU2AF1","TNC"
"555","CCR7","VDR","ZNF780A"
"556","PRSS8","OR13C4","TLR1"
"557","ZW10","COX20","STAC2"
"558","AIMP2","CD6","DERL1"
"559","CCDC69","OASL","SMCO1"
"560","PECAM1","RAB42","VASN"
"561","OPRL1","SPACDR","POU2AF1"
"562","VPREB3","CMTM3","RTTN"
"563","URB2","IGF1","GSTP1"
"564","FER1L6","P3H1","CEBPA"
"565","TMEM130","EFNA4","FLNA"
"566","SCD","FAM30A","HAND1"
"567","TBC1D7","PDP2","SECTM1"
"568","STAP1","LBR","ZNF692"
"569","PSMD7","FLRT2","TCHHL1"
"570","ASPHD1","PKD2L1","TOGARAM2"
"571","GZMA","ENG","DOCK8"
"572","SHOX2","IKZF3","NR3C1"
"573","NT5E","COL7A1","WFIKKN1"
"574","GIPC2","TNC","ACKR4"
"575","KNDC1","C1orf74","CD70"
"576","GALNT6","CYP24A1","ARHGAP6"
"577","TFRC","CPLX1","FHIT"
"578","NIPA2","ESRP1","EPCAM"
"579","GPR84","STAP2","FGFR4"
"580","NOL11","CNPY4","TBC1D21"
"581","NUTF2","LIMD2","GPR65"
"582","KPNA7","ELF3","ELF3"
"583","CFTR","C17orf107","GNB5"
"584","CD180","RESF1","STX1A"
"585","SLC46A2","GLT8D2","CLRN3"
"586","PRDM9","SLC16A1","BLID"
"587","HTRA4","NAV3","PARP12"
"588","PLD4","SEPTIN1","MEIS1"
"589","CEPT1","SAMD9L","DCN"
"590","BIRC7","PLEK","EFEMP2"
"591","TTLL10","ESRP2","SERPINE1"
"592","TFB2M","PRECSIT","CLSTN2"
"593","GNGT2","AHNAK2","CALHM6"
"594","SYNPO2","LOC154761","TEKTL1"
"595","PPM1D","IFNL1","CASKIN2"
"596","MFAP4","BTN3A1","PLSCR1"
"597","CS","IL1RAPL1","RAVER2"
"598","PRDM6","HMGCR","OR51B6"
"599","AHDC1","CCDC69","STOX2"
"600","SLAMF1","IDH2","SMAP2"
"601","C19orf47","SMCHD1","DCBLD2"
"602","ZNF841","PARP10","MTHFSD"
"603","COX14","KIFC3","LLGL2"
"604","CALML4","ST3GAL5","TSPAN10"
"605","SELPLG","AKT2","SGCZ"
"606","RCN2","RAB15","MED29"
"607","SNRPE","BIRC3","PLP1"
"608","MT2A","SPOCK2","IFIT1B"
"609","MRPL39","CDS1","PSMB3"
"610","OSCAR","GPA33","MAS1L"
"611","MAD2L1","SLC31A2","PPP1R13B"
"612","IRX6","SYNPO2","GCKR"
"613","SYP","CLDN3","PDPN"
"614","ABCB10","DTX1","GNGT2"
"615","ABHD17C","CYBB","PER1"
"616","DHCR7","MAK","ADGRA2"
"617","PPFIBP2","CDX1","LRRC43"
"618","EPG5","COMMD10","MT1M"
"619","C17orf107","PMAIP1","CYGB"
