"","Canonical","NonCanonical","Atypical"
"309","NANOGNB","LCN10",NA
"310","IL36A","ATP8B3",NA
"311","ATCAY","CADM3",NA
"312","FGF4","CYP26C1",NA
"313","TREML2","PTH1R",NA
"314","TULP1","P2RX3",NA
"315","LINC02843","PAX4",NA
"316","COL2A1","RNASE3",NA
"317","SLC17A6","ADAM29",NA
"318","HPCAL4","SP7",NA
"319","UGP2","WNT9B",NA
"320","RAB6D","MUC16",NA
"321","HES7","CELF4",NA
"322","LINC02903","EPHA6",NA
"323","MEIOC","CRH",NA
"324","SCN4A","WNT10B",NA
"325","POU4F1","EXTL1",NA
"326","DPP6","FOXL1",NA
"327","TACR3","TGM4",NA
"328","CLXN","CLDN6",NA
"329","VSTM2A","C16orf86",NA
"330","CLEC1B","SNTG2",NA
"331","SMR3A","BSX",NA
"332","TOB2P1","DENND2A",NA
"333","BPIFA4P","FFAR3",NA
"334","SAMD7","TGFB1",NA
"335","VTCN1","KY",NA
"336","RNASE3","CD180",NA
"337","MST1L","TBX5",NA
"338","ERICH3","COL26A1",NA
"339","SLC34A2","RS1",NA
"340","HRH3","PDE2A",NA
"341","TAAR1","APC2",NA
"342","RPL39","AQP4",NA
"343","CTNNA3","SLC22A8",NA
"344","SFTPB","CFAP46",NA
"345","LZTS1","RHO",NA
"346","GJD4","GABRR3",NA
"347","PIWIL3","NKAIN1",NA
"348","MAS1L","HCRT",NA
"349","OR2F1","OR8B4",NA
"350","MYLK3","CCDC85A",NA
"351","HSD3B2","CD46",NA
"352","COX6C","SERPINA11",NA
"353","CDH8","CNTN2",NA
"354","MZT1","ZPBP",NA
"355","OTOR","NOTO",NA
"356","GRIN2A","APOF",NA
"357","FSHB","FGF13",NA
"358","TUBB7P","RYR1",NA
"359","MS4A10","PHYHIP",NA
"360","AMELY","LHX9",NA
"361","FCN2","MTNR1B",NA
"362","VWA3B","ABCA4",NA
"363","OR4K1","SERPINA9",NA
"364","ASTN1","BTBD17",NA
"365","GFRAL","CNGA3",NA
"366","NPAS4","NCR3",NA
"367","ELAVL4","SERPINB12",NA
"368","DEFB125","TLR6",NA
"369","RPH3A","TMEM121",NA
"370","CNTNAP4","CHRNB4",NA
"371","LOC441239","USP2",NA
"372","LDB3","UROC1",NA
"373","SLC6A11","RAD21L1",NA
"374","SERPINA9","GPR162",NA
"375","ANKRD20A21P","ZNF556",NA
"376","C2CD6","IQCF5",NA
"377","WNT3A","SEPTIN1",NA
"378","PCARE","PCSK2",NA
"379","BIRC8","GHRHR",NA
"380","NYAP2","CALM2",NA
"381","TMPRSS11BNL","PAX6",NA
"382","USP2","HNRNPA1",NA
"383","PDE7B","PRSS42P",NA
"384","C12orf40","GAL3ST3",NA
"385","SLC22A8","BCAR1",NA
"386","CFAP77","SARDH",NA
"387","DNAH8","EPB42",NA
"388","ATP1B4","CLDN19",NA
"389","FAM135B","FCN2",NA
"390","HBB","ATP5PD",NA
"391","SOST","FAM78A",NA
"392","BSX","TCF23",NA
"393","DPYSL5","CYLC1",NA
"394","TBXT","RAB39B",NA
"395","OR2A5","ARHGAP33",NA
"396","CATSPER1","ADCY1",NA
"397","CXorf66","PACRG",NA
"398","HPN","TMEM95",NA
"399","BRDT","SLC38A3",NA
"400","CFAP95","GLYAT",NA
"401","CFAP251","C22orf42",NA
"402","DNAH10","IFNL1",NA
"403","TEKT1","RXFP2",NA
"404","LINC00272","NRXN1",NA
"405","TEX35","ADGRA2",NA
"406","INMT","ENG",NA
"407","SYT6","C2orf50",NA
"408","SSX2","YLPM1",NA
"409","OR5D14","RSPO4",NA
"410","ELOVL3","CLEC1B",NA
"411","HEMGN","GALNT17",NA
"412","GABRA1","PLA2G2E",NA
"413","NR1H4","GSDMC",NA
"414","VGLL2","APOL5",NA
"415","ANKUB1","POMC",NA
"416","C12orf42","SLC25A41",NA
"417","GPR101","TUB",NA
"418","OR10W1","LINC01623",NA
"419","SCGB2A2","ARPP21",NA
"420","PCDHA11","OLIG1",NA
"421","RAD21L1","FOSL1",NA
"422","AQP2","LRFN2",NA
"423","NRG3","TCL6",NA
"424","OR56A1","TSPO2",NA
"425","GPR55","OR4X2",NA
"426","RPS17","LSP1",NA
"427","TAS2R8","ADAMTSL1",NA
"428","OR4D2","BRME1",NA
"429","SMIM5","KIR2DS4",NA
"430","GSC","SPANXN5",NA
"431","C2orf73","ADIG",NA
"432","PLEKHG4B","FUT9",NA
"433","LGALS13","COL25A1",NA
"434","FGF23","PRMT8",NA
"435","FABP5","OR2A5",NA
"436","ADD2","LILRA3",NA
"437","ABCC12","SPEM1",NA
"438","GNAT1","PDE7B",NA
"439","PLPPR5","PLEKHD1",NA
"440","DGKB","SYT8",NA
"441","TUBA1A","GRID2IP",NA
"442","TBX22","LCE2D",NA
"443","SULT2A1","AJM1",NA
"444","DNASE2B","STOML3",NA
"445","OR10A3","TSGA10IP",NA
"446","NTRK3","CBS",NA
"447","SLC2A7","ARMC12",NA
"448","CFAP54","RCVRN",NA
"449","GABRA5","SEMG2",NA
"450","CYP4F22","LINC01193",NA
"451","ADRA1A","LINC00272",NA
"452","OR1F1","KLHL38",NA
"453","COLGALT2","CYP1A2",NA
"454","FAM163A","SPTA1",NA
"455","AFF3","THRSP",NA
"456","PAGE4","HTR5A",NA
"457","SSPOP","RPS3A",NA
"458","SARDH","ZNF229",NA
"459","BMP3","OR10Q1",NA
"460","NEUROD4","OR2G2",NA
"461","SLC7A14","BPIFA2",NA
"462","SPDEF","PCDHA8",NA
"463","TYR","WNT8A",NA
"464","OR2H2","CSDC2",NA
"465","RPS13","BLK",NA
"466","C12orf71","SLC22A2",NA
"467","CD180","ACAP3",NA
"468","IQSEC3","CERS4",NA
"469","RBMXL2","OR7A10",NA
"470","WSCD2","SLC14A2",NA
"471","IGSF5","SPDYE4",NA
"472","CFAP92","GRM2",NA
"473","CDH10","TDH",NA
"474","USP26","SPANXN4",NA
"475","GHR","GPR78",NA
"476","WFIKKN2","ANKUB1",NA
"477","CHST9","DNAJB8",NA
"478","CA4","PYGM",NA
"479","ATP6V1B1","GABRD",NA
"480","SEZ6L","PAX2",NA
"481","CDC20B","RXRG",NA
"482","NBPF7P","LAMC3",NA
"483","TMEM225","ST8SIA5",NA
"484","SGSM1","KLF14",NA
"485","IRS4","DNAI2",NA
"486","BPIFC","CCDC40",NA
"487","CCER1","VWA3B",NA
"488","SOX21","NTRK3",NA
"489","OR10A6","GOT1L1",NA
"490","PCDH11Y","MS4A15",NA
"491","GPX6","AMHR2",NA
"492","KIF25","CFAP276",NA
"493","ADAM30","PFN4",NA
"494","RGS21","SLC30A3",NA
"495","SPANXN5","C4orf17",NA
"496","AWAT1","ACOXL",NA
"497","GREB1","FEZF2",NA
"498","KLHL4","CIMAP3",NA
"499","HTR3B","CRX",NA
"500","C15orf32","GMNC",NA
"501","ARHGAP36","PKD1L2",NA
"502","PLA2G4D","OR10H5",NA
"503","PAGE3","CIMAP1A",NA
"504","OR12D3","ADD2",NA
"505","CGA","CIMIP4",NA
"506","AVPR2","H4C7",NA
"507","SLC28A1","CCKBR",NA
"508","SLC5A7","CD79B",NA
"509","ATP5IF1","CLSPN",NA
"510","NLRP14","HBD",NA
"511","BEND4","MAS1L",NA
"512","FOXE1","LINC00652",NA
"513","PHF24","DBX1",NA
"514","TFAP2B","NTRK1",NA
"515","CUX2","FAT2",NA
"516","MYOC","GCC2",NA
"517","IQCF5","NEUROD2",NA
"518","TECTB","AVPR2",NA
"519","TCL6","PLD5",NA
"520","KCNC1","HTR3B",NA
"521","RIPPLY1","GABRG3",NA
"522","OR1L1","RPL9",NA
"523","TRIML1","ADAMTS18",NA
"524","SPEM1","SMR3A",NA
"525","FBXL21P","PCDHA11",NA
"526","OR5P2","SPATA41",NA
"527","NLRP4","TACR3",NA
"528","RSPO1","S100B",NA
"529","OR10AG1","LINC00334",NA
"530","PTPRQ","SNORA77",NA
"531","PCDH10","CPA2",NA
"532","SNCB","OR2F1",NA
"533","NCR3","FAM171A2",NA
"534","SLC25A41","ENPP7",NA
"535","OR2M7","GAB4",NA
"536","DNAH9","CNTNAP4",NA
"537","GSDMC","NEUROD4",NA
"538","OR51B4","LRRTM4",NA
"539","DLGAP1","FSD1",NA
"540","UNC5D","BEND4",NA
"541","IGFN1","MYL9",NA
"542","OR10H5","XKR4",NA
"543","KCNN1","GPX1",NA
"544","PRSS50","MYL6B",NA
"545","MUC16","NOVA2",NA
"546","SPMAP1","GYPA",NA
"547","MAGEB10","LAMB4",NA
"548","SLITRK4","VTCN1",NA
"549","OPRPN","OR4E2",NA
"550","ADCY1","KRT81",NA
"551","ASB15","CLRN1",NA
"552","CCN2","PANX2",NA
"553","PAX3","PAGE3",NA
"554","TARP","AJAP1",NA
"555","OR2AK2","MAP1LC3C",NA
"556","SLC22A16","ABCC8",NA
"557","UNC13C","OR11L1",NA
"558","SLC12A3","PLK3",NA
"559","TRAPPC3L","SCN10A",NA
"560","GRM7","ABCD1",NA
"561","ZYG11A","NMBR",NA
"562","F13B","GSG1",NA
"563","OR5T1","ASB11",NA
"564","DNAAF1","CGA",NA
"565","SPACA7","MCHR2",NA
"566","SLC1A2","WDR93",NA
"567","SYNPO2L","ADAM7",NA
"568","CELA3B","KCNIP3",NA
"569","MAGEA8","CATIP",NA
"570","PYY2","MC3R",NA
"571","CD5L","CADM2",NA
"572","BEST4","PAX3",NA
"573","UNC80","SPPL2C",NA
"574","C5orf64","UBASH3A",NA
"575","TTC6","SPOCK3",NA
"576","RD3","GREB1",NA
"577","TAFA2","OR1F1",NA
"578","TNP1","GRIK4",NA
"579","RIMS2","AIPL1",NA
"580","MYH1","LTB",NA
"581","AKR1B15","CLEC2A",NA
"582","SPANXN4","FBXO44",NA
"583","TGM5","AANAT",NA
"584","OR5A2","CRHR1",NA
"585","OR4A5","TTYH1",NA
"586","TRIML2","BPIFB1",NA
"587","SRRM4","FOXE1",NA
"588","SVOP","GSC",NA
"589","IL2","TEX47",NA
"590","GRM3","OR1A2",NA
"591","FSTL4","PRELP",NA
"592","OR2W5P","LINC02903",NA
"593","HCN1","CCDC33",NA
"594","GSG1","PEBP4",NA
"595","HIPK4","CCDC177",NA
"596","CAPN11","SPATC1L",NA
"597","PLPPR3","NFATC4",NA
"598","G6PC1","TEX13A",NA
"599","CD300LD","GARIN1B",NA
"600","OR2M4","SLC25A34",NA
"601","SLC26A4","IL36A",NA
"602","OR52A5","ATP6V1B1",NA
"603","PRDM12","RPL27",NA
"604","DEFB119","OR11G2",NA
"605","GSX2","HHIPL1",NA
"606","ERBB4","HS6ST3",NA
"607","ADGB","TNF",NA
"608","RFPL4B","FGF21",NA
"609","RBM24","VWF",NA
"610","ZNF804B","C2orf73",NA
"611","VWA5B2","CDH10",NA
"612","NELL1","CFAP45",NA
"613","FOXJ1","PPP1R3A",NA
"614","CYP26A1","KLHDC8A",NA
"615","PCAT4","NAP1L3",NA
"616","BPIFB4","LMNTD1",NA
"617","OR4F6","ADCY8",NA
"618","MRGPRX4","MYL11",NA
"619","A4GNT","C1QL1",NA
"620","RGS6","SOX10",NA
"621","FCRL4","AFF3",NA
"622","DEFB110","OR9A2",NA
"623","PCDHA8","FREY1",NA
"624","POM121L2","GFRAL",NA
"625","ZNF560","FATE1",NA
