"","Canonical","NonCanonical","Atypical"
"357","CNTN1","SHISAL2A",NA
"358","AIPL1","CSN3",NA
"359","TEX36","TXNDC2",NA
"360","DEFB119","RSPO4",NA
"361","BARHL2","HTR3B",NA
"362","CNTNAP4","WFDC9",NA
"363","C9","GPR101",NA
"364","CELA3B","TRIML2",NA
"365","LINC00161","BEND4",NA
"366","CREB3L3","GRM2",NA
"367","OR5H14","VTCN1",NA
"368","ANKRD20A21P","ST8SIA2",NA
"369","OPCML","SLC25A34",NA
"370","ST8SIA2","LRRC74A",NA
"371","OR56A1","HPN",NA
"372","VWA5B2","ATP6V1B1",NA
"373","KIAA2012","TUBB7P",NA
"374","GTSF1L","LACRT",NA
"375","TP53AIP1","PGLYRP3",NA
"376","FOXG1","MASP1",NA
"377","CA4","NLGN1",NA
"378","MUC16","CXorf66",NA
"379","HBD","CNTFR",NA
"380","AACSP1","FOXD3",NA
"381","CABP2","OTOP2",NA
"382","CCL23","CCN5",NA
"383","ADM5","CMA1",NA
"384","C16orf89","GJB7",NA
"385","CXorf66","ANKRD20A21P",NA
"386","PRSS45P","CREB3L3",NA
"387","LRRC74A","FEZF2",NA
"388","OR2S2","OR2W5P",NA
"389","TSGA10IP","LDLRAD1",NA
"390","ADGRG4","GSDMC",NA
"391","VSTM2A","RNASE3",NA
"392","TXNDC2","PDYN",NA
"393","GATA4","APOA4",NA
"394","WDR87","NPAS4",NA
"395","FETUB","JAKMIP3",NA
"396","VGF","RD3",NA
"397","OR12D3","PRELP",NA
"398","CLDN17","HCN1",NA
"399","PRELP","PDHA2",NA
"400","GSDMC","NELL1",NA
"401","CEACAM16","RTL9",NA
"402","MAGEB10","KIF20A",NA
"403","PI16","RND2",NA
"404","FOXD3","SLITRK2",NA
"405","LINC00272","CDC20B",NA
"406","WNT7A","A4GNT",NA
"407","PCDHA3","CHCT1",NA
"408","MBD3L1","MYADML2",NA
"409","MEPE","SLC17A6",NA
"410","RGR","DIRAS2",NA
"411","RIMS2","GLP1R",NA
"412","AANAT","OR2M3",NA
"413","OR8G1","CNTN1",NA
"414","PCDH11Y","KCNIP1",NA
"415","RND2","HOXD12",NA
"416","HOXD12","BNC1",NA
"417","GDAP1L1","LNCRI",NA
"418","FGF5","VAX1",NA
"419","TTBK1","CAPZA3",NA
"420","HTR3B","PRSS45P",NA
"421","DHRS7C","OR5H14",NA
"422","AQP6","RIMS2",NA
"423","RD3","ITPRID1",NA
"424","KCNIP1","CA4",NA
"425","PCDHA11","SEMG2",NA
"426","CIB4","GDF10",NA
"427","AMER3","ADGRV1",NA
"428","GBX2","SLITRK5",NA
"429","PRX","APC2",NA
"430","VTCN1","ZIC3",NA
"431","KLHL40","ENTPD8",NA
"432","C1QL2","PCDHA3",NA
"433","MAGEA8","C4orf50",NA
"434","OTOP2","CGA",NA
"435","VSTM2B","DENND2A",NA
"436","GSC","NKAIN4",NA
"437","GJB7","GSG1L",NA
"438","PAPPA2","DBX1",NA
"439","THPO","KCNT1",NA
"440","CSAG1","IL31",NA
"441","LACRT","CNTNAP4",NA
"442","BEST4","ETV3L",NA
"443","TAS2R16","TRAPPC3L",NA
"444","MYOC","KLHL40",NA
"445","A4GNT","CCL23",NA
"446","NLGN1","KIAA2012",NA
"447","GPT","FMO2",NA
"448","ARG1","GJD2",NA
"449","TNP1","CLDN17",NA
"450","CACNA1A","OR8K1",NA
"451","SLC7A14","VGF",NA
"452","ZNF365","ENTHD1",NA
"453","OR8G5","ITGAD",NA
"454","SEMG2","ADM5",NA
"455","OR5J2","ATP4B",NA
"456","PDHA2","UNC45B",NA
"457","CFAP95","OR5W2",NA
"458","IGSF11","MS4A10",NA
"459","NEUROG2","OR5P2",NA
"460","DISP3","BARHL2",NA
"461","TLX1NB","MAGEB6",NA
"462","SP8","CDH16",NA
"463","PPP6R1","LINC00552",NA
"464","KRT79","LHFPL1",NA
"465","MAGEB6","CFAP95",NA
"466","AGXT2","ABCG4",NA
"467","ITGAD","NAT16",NA
"468","C15orf32","SMYD1",NA
"469","CGA","OR2J2",NA
"470","CNTFR","DACH2",NA
"471","MYT1","ZNF365",NA
"472","CA10","SPPL2C",NA
"473","OR10Q1","GFRAL",NA
"474","KRT77","PHF21B",NA
"475","CES1P1","CFAP299",NA
"476","TMEM130","AACSP1",NA
"477","PGM5","DNASE2B",NA
"478","SLC22A16","FOXG1",NA
"479","OR10A7","DHRS7C",NA
"480","EEF1A2","TSPEAR",NA
"481","SPANXN4","OR56A1",NA
"482","MC4R","OR11H6",NA
"483","TTR","HBD",NA
"484","OR1M1","SLC5A8",NA
"485","OR1B1","ADGRG4",NA
"486","SMTNL2","TSGA10IP",NA
"487","HSPB7","SLC8A2",NA
"488","MUC21","CLRN1",NA
"489","UNC5D","MUC21",NA
"490","PAGE1","ZFP57",NA
"491","KLK15","PGM5",NA
"492","HS3ST6","LVRN",NA
"493","ARHGAP36","MYO3A",NA
"494","GATA5","SLC7A14",NA
"495","LVRN","SERPINA11",NA
"496","OR2V2","CDH10",NA
"497","SERPINA4","WNT7A",NA
"498","OR5M9","ARHGAP36",NA
"499","IL31","GSC",NA
"500","SLC13A5","OR5J2",NA
"501","TRIM72","MUC16",NA
"502","SLC5A8","LCN10",NA
"503","DCD","SP8",NA
"504","FOXL2","XKR4",NA
"505","RSPO1","ADAM29",NA
"506","NXPH4","CATSPER4",NA
"507","NRAP","OR5D14",NA
"508","IZUMO1","MEPE",NA
"509","PRDM16","MED12L",NA
"510","KCNH7","FETUB",NA
"511","RIC3","PIK3C2G",NA
"512","TRHDE","ENAM",NA
"513","P4HA3","VWDE",NA
"514","CETN1","KCND2",NA
"515","OR5P2","PAPPA2",NA
"516","PKNOX2","CACNA1A",NA
"517","ADAM3A","DEFB119",NA
"518","OR12D2","TECTB",NA
"519","GALNTL6","RGS7",NA
"520","NAT8","CKS2",NA
"521","TEKT5","LINC00313",NA
"522","SCN10A","OR2AK2",NA
"523","NPY1R","HBB",NA
"524","CHRM1","IGSF11",NA
"525","FMO2","DYDC2",NA
"526","MST1L","ASIC5",NA
"527","SORCS3","MAGEA8",NA
"528","TECTB","VSTM2B",NA
"529","CA7","SLC26A4",NA
"530","CHRNA9","OR2G2",NA
"531","HBB","OR4A16",NA
"532","BMP3","TAS2R16",NA
"533","AKR1B15","PLPPR5",NA
"534","PSG3","CABP2",NA
"535","OR4K1","KHDRBS2",NA
"536","SOHLH1","RSPO1",NA
"537","TEX19","PRSS59P",NA
"538","IL5","SLC22A16",NA
"539","SLC22A24","ZIM2",NA
"540","ADGRB3","HTR1F",NA
"541","KCND2","GTSF1L",NA
"542","CYP2F1","TP53AIP1",NA
"543","HOGA1","GPT",NA
"544","SEC14L4","KCNG2",NA
"545","NANOS3","PCDHAC2",NA
"546","KRT17","GPR12",NA
"547","RDH12","HYDIN",NA
"548","INSL4","OR5M9",NA
"549","EFCAB8","VWA5B2",NA
"550","SCGB1D2","TTTY12",NA
"551","GUCY2D","BFSP2",NA
"552","SULT6B1","GATA4",NA
"553","TSPAN16","TTBK1",NA
"554","VWDE","KCNJ1",NA
"555","OPRPN","AANAT",NA
"556","CCDC148","OR9G4",NA
"557","SOX14","SLC22A24",NA
"558","HTR4","LRTM1",NA
"559","SLC27A6","SPIC",NA
"560","OR4F6","CFAP77",NA
"561","GPR12","SORCS3",NA
"562","ODF1","CHRNA9",NA
"563","RGS21","MAGEB10",NA
"564","SLC26A9","CCDC169",NA
"565","OSTN","TRPM8",NA
"566","SVOP","OR2S2",NA
"567","KCNB1","MS4A3",NA
"568","OR10T2","DCD",NA
"569","DYDC2","KRT77",NA
"570","BRINP1","TEX36",NA
"571","COL22A1","CES1P1",NA
"572","ASPG","TAAR1",NA
"573","DNAH10","GBX2",NA
"574","TTC6","OR8G1",NA
"575","NXPH2","RP1",NA
"576","NEXMIF","OR13C3",NA
"577","OR5P3","IL2",NA
"578","FEV","TRHDE",NA
"579","SELENOV","HSPB7",NA
"580","OR6K6","MGAT4C",NA
"581","TDRD12","HOGA1",NA
"582","OR52E8","ADGB",NA
"583","SPATA8","ARG1",NA
"584","RP1","FOXR1",NA
"585","IGFALS","TNP1",NA
"586","OR10K1","DNAH10",NA
"587","OR10AG1","SMTNL2",NA
"588","MSLN","OLAH",NA
"589","PNMA3","MYT1",NA
"590","DLL3","GPR151",NA
"591","NPY2R","BMP3",NA
"592","OR52A4P","PPP6R1",NA
"593","C1QTNF8","AQP6",NA
"594","MORN5","NPY1R",NA
"595","KLK8","LINC02880",NA
"596","FOXI1","SVOP",NA
"597","LGI1","TRIM72",NA
"598","OR5K4","PI16",NA
"599","DRC1","TTC16",NA
"600","FCRL4","PRDM16",NA
"601","TRIM63","BEST4",NA
"602","GPR158","TLX1NB",NA
"603","BPIFA3","SLC26A9",NA
"604","TDRD5","RGS21",NA
"605","OR10S1","CA10",NA
"606","EMX2","SPAM1",NA
"607","SH3GL2","MST1L",NA
"608","SOX1","SPATA42",NA
"609","KRT2","KCNH7",NA
"610","GCM2","DISP3",NA
"611","CFAP251","AKR1B15",NA
"612","KCNJ6","AGXT2",NA
"613","CCDC190","NEXMIF",NA
"614","GALR1","PAGE1",NA
"615","C1orf105","ADGRB3",NA
"616","MUC5B","CTAGE1",NA
"617","QRFPR","LINC00161",NA
"618","GP2","NOX5",NA
"619","OR56A3","NXPH4",NA
"620","GLYATL3","EEF1A2",NA
"621","CYP2C19","WDR87",NA
"622","NOTUM","MMP16",NA
"623","MT4","MYOC",NA
"624","FZD10","SLC27A6",NA
"625","CKM","PAPOLB",NA
"626","SEC14L5","OR10T2",NA
"627","B3GNT6","SH3GL2",NA
"628","PCDHA9","TMEM130",NA
"629","DAO","SLC13A5",NA
"630","FAM131B","FMR1NB",NA
"631","BARX1","MS4A5",NA
"632","IL13","CCDC148",NA
"633","DMRT2","GDF3",NA
"634","SLC30A10","KCNB1",NA
"635","AGTR1","OR1M1",NA
"636","CAMKV","OR5D13",NA
"637","VIT","OR2V2",NA
"638","CDKL2","OR52E6",NA
"639","COL4A6","KLK15",NA
"640","AWAT2","UNC5D",NA
"641","SLC18A1","KRT79",NA
"642","REG3G","HTR3D",NA
"643","SERPIND1","OR10R2",NA
"644","SCN7A","SCN10A",NA
"645","ABCA8","OR10A7",NA
"646","WFDC2","NEUROG2",NA
"647","KRT75","LINC03042",NA
"648","SERPINA5","KRT82",NA
"649","CPB1","OR5K4",NA
"650","RBM24","IZUMO1",NA
"651","PCDHA4","IRX4",NA
"652","BEX1","SOHLH1",NA
"653","SCNN1G","OR1B1",NA
"654","PMP2","RIC3",NA
"655","ANKRD30B","P4HA3",NA
"656","SOX2","ADAM3A",NA
"657","LIN28B","OR4K1",NA
"658","OSR1","OR52A5",NA
"659","MMP12","OR6K6",NA
"660","SRPX2","KCNF1",NA
"661","CCL20","LGI1",NA
"662","LDHD","GRM3",NA
"663","ATP1A2","NANOS3",NA
"664","UTS2B","TTR",NA
"665","CDH19","THSD7B",NA
"666","SH2D7","ODF1",NA
"667","SEMG1","KRT27",NA
"668","FAR2P1","MC4R",NA
"669","AFP","SPANXN4",NA
"670","APOH","OR52E8",NA
"671","C11orf86","GHR",NA
"672","FMN2","TEX19",NA
"673","ITLN2","CA7",NA
"674","OSM","SERPINA4",NA
"675","SCGN","OR10K1",NA
"676","CBY2","BRINP1",NA
"677","LONRF2","H2BW1",NA
"678","KRT14","GDAP1L1",NA
"679","GUCA2A","HS3ST2",NA
"680","OR8D4","ANLN",NA
"681","TPH1","NRAP",NA
"682","DPEP1","OR10AG1",NA
"683","ANO5","GATA5",NA
"684","AMPD1","SELENOV",NA
"685","CTHRC1","ASPG",NA
"686","CHGA","TMEM202",NA
"687","GUCA2B","IL5",NA
"688","LEMD1","AMER2",NA
"689","ST6GALNAC1","TDRD12",NA
"690","MMP3","NAT8",NA
"691","MSX1","OR12D2",NA
"692","KRT23","SOX14",NA
"693","SAA1","INSL4",NA
"694","CEMIP","DAW1",NA
"695","SST","TARP",NA
"696","SLC4A4","EFCAB8",NA
"697","MMP7","VWC2",NA
"698","SLC26A3","HS3ST6",NA
"699",NA,"NXPH2",NA
"700",NA,"TRIM63",NA
"701",NA,"ADAMTS16",NA
"702",NA,"GALNTL6",NA
"703",NA,"PCDHB6",NA
"704",NA,"OR4F6",NA
"705",NA,"OR13J1",NA
"706",NA,"TSPAN16",NA
"707",NA,"PKNOX2",NA
"708",NA,"MARCO",NA
"709",NA,"NPY2R",NA
"710",NA,"ZCCHC13",NA
"711",NA,"SEMA3D",NA
"712",NA,"HTR4",NA
"713",NA,"CHRM1",NA
"714",NA,"OR10S1",NA
"715",NA,"CST6",NA
"716",NA,"TAFA2",NA
"717",NA,"MYF6",NA
"718",NA,"CDKL2",NA
"719",NA,"RTP3",NA
"720",NA,"TKTL2",NA
"721",NA,"FAM131B",NA
"722",NA,"MRGPRX1",NA
"723",NA,"ZNF560",NA
"724",NA,"SLC18A1",NA
"725",NA,"COL22A1",NA
"726",NA,"ANO4",NA
"727",NA,"RDH12",NA
"728",NA,"PSG3",NA
"729",NA,"OR52A4P",NA
"730",NA,"OR3A2",NA
"731",NA,"CAGE1",NA
"732",NA,"KRT2",NA
"733",NA,"LUZP2",NA
"734",NA,"FCRL4",NA
"735",NA,"SEC14L5",NA
"736",NA,"FOXI1",NA
"737",NA,"CETN1",NA
"738",NA,"FAM9B",NA
"739",NA,"TDRD5",NA
"740",NA,"IL13",NA
"741",NA,"OR56A3",NA
"742",NA,"FEV",NA
