"","Canonical","NonCanonical","Atypical"
"504","SCN1B","NPAS4",NA
"505","RASAL3","SYPL1",NA
"506","LINC00856","KRT25",NA
"507","CHRDL2","MAPK8IP1",NA
"508","PDGFB","OR4L1",NA
"509","PTPRT","ACP7",NA
"510","APC2","GPRC6A",NA
"511","SPOCD1","LILRA3",NA
"512","DLX4","RAB3IL1",NA
"513","IQCF1","VSTM1",NA
"514","FKBP11","TMX1",NA
"515","CHAT","ATXN7L2",NA
"516","C16orf89","KCNE2",NA
"517","SPATA19","IFT122P3",NA
"518","LENEP","PVALB",NA
"519","COLGALT2","CACNG1",NA
"520","OR2T6","RPS9",NA
"521","PPFIA2","LOC100130691",NA
"522","CHRNA2","PSORS1C1",NA
"523","OR4L1","CNIH3",NA
"524","FAM215A","PYY2",NA
"525","PIRT","PPFIA2",NA
"526","FNDC8","LOC643406",NA
"527","CATSPER1","QPCTL",NA
"528","RPS5","CIMAP1C",NA
"529","SGCA","OR4K13",NA
"530","LINC00308","AMHR2",NA
"531","PRKN","SYNGR1",NA
"532","SPIRE2","RSPH6A",NA
"533","GYPB","HCN3",NA
"534","P2RX1","CCDC116",NA
"535","ADIPOQ","GARIN5B",NA
"536","ZWINT","PSMC6",NA
"537","PRSS55","SH3BP5L",NA
"538","PRELP","ADM2",NA
"539","ZSWIM2","TAS2R60",NA
"540","OR10Z1","PHOSPHO1",NA
"541","PCAT4","SEC62",NA
"542","ATP13A4","ZNF492",NA
"543","MAGEC3","ZBTB8B",NA
"544","LOC643406","PLEKHH3",NA
"545","OR8D1","SLC10A2",NA
"546","NCR2","GHRL",NA
"547","OR52A5","KPNA7",NA
"548","FGF8","ZSCAN5B",NA
"549","PCDH11X","OR51T1",NA
"550","DEFB118","GARIN1B",NA
"551","GABRB1","IQCF1",NA
"552","ZDHHC19","RPH3A",NA
"553","RNASE12","GARIN2",NA
"554","LRTM2","CA6",NA
"555","LIN28B","MOBP",NA
"556","CFAP161","IL3",NA
"557","TMEM35A","SSH2",NA
"558","TMEM114","PRR19",NA
"559","HOXB1","MRPL46",NA
"560","APOA5","OPCML",NA
"561","NDUFB3","NPHS2",NA
"562","PDCD1LG2","TMEM129",NA
"563","GPR12","FOXB2",NA
"564","PPP3R2","MYOZ2",NA
"565","ORMDL2","CLCNKB",NA
"566","CYP3A4","INSRR",NA
"567","INO80C","MMP24",NA
"568","VWA5B2","PDE2A",NA
"569","PAPPA2","FAT3",NA
"570","NTN3","ABCA2",NA
"571","OR10H5","KY",NA
"572","ADRA1A","GPX6",NA
"573","OR4P4","AVPR1A",NA
"574","ROBO4","FOSB",NA
"575","INSC","PLEKHH2",NA
"576","BICDL2","DDX50",NA
"577","HYDIN","NTN3",NA
"578","IMPACT","GDPD4",NA
"579","BAIAP3","ZNF513",NA
"580","CLSTN2","ISL1",NA
"581","NPHS2","SYT9",NA
"582","SLC47A2","RAB39B",NA
"583","PCDHGC5","YIPF1",NA
"584","SLC8A2","RTN4RL2",NA
"585","VSTM1","ESYT3",NA
"586","ASB15","NBPF22P",NA
"587","PTGES","OR52B4",NA
"588","RGSL1","DPYSL2",NA
"589","SOX4","CFAP77",NA
"590","CYSRT1","MGAT5B",NA
"591","MEPE","BSN",NA
"592","XKR4","CMPK1",NA
"593","NKD1","POU6F2",NA
"594","EBNA1BP2","BPIFA2",NA
"595","NAV2","ATG9B",NA
"596","GLT1D1","SPPL2C",NA
"597","C3orf36","HSPB7",NA
"598","RAB37","HS6ST3",NA
"599","SOX14","OR6C70",NA
"600","NRAP","NANOS2",NA
"601","DHRS7C","PAX4",NA
"602","ALK","ADRA2B",NA
"603","INSRR","POM121L8P",NA
"604","ATP13A5","OR7A5",NA
"605","RPL17","MYL7",NA
"606","TRAM1L1","STARD6",NA
"607","POLN","STARD8",NA
"608","NTNG2","DNM1P35",NA
"609","UTS2B","GRM7",NA
"610","CPN2","CFAP126",NA
"611","ERBB4","FAM218A",NA
"612","CCDC65","ABCG8",NA
"613","FAT3","SNAP25",NA
"614","MYL1","TTLL3",NA
"615","OR5D16","SSTR2",NA
"616","ELAVL4","NCDN",NA
"617","HSPB7","ABHD11",NA
"618","SIGLEC8","ARMT1",NA
"619","SPATA31D3","MYPN",NA
"620","OR1A2","RAD51D",NA
"621","SH2D4B","IFIT1B",NA
"622","A4GNT","PCDHGB2",NA
"623","ASGR1","OR1S2",NA
"624","C10orf55","TMEM132E",NA
"625","ERC2","SLC45A1",NA
"626","PCDHGB2","MAD2L1BP",NA
"627","CES3","TTLL8",NA
"628","KISS1R","KCNK16",NA
"629","C5orf64","OR5AR1",NA
"630","MLXIPL","ELAVL4",NA
