"","Canonical","NonCanonical","Atypical"
"276","NOX4","SIGLEC15",NA
"277","CLCA1","ATP1A3",NA
"278","LEMD1","SLF2",NA
"279","GCG","MIR23AHG",NA
"280","KLK8","NME1",NA
"281","INSL5","YPEL4",NA
"282","CHGA","RPS3A",NA
"283","SST","PATJ",NA
"284","CA1","RPP21",NA
"285","REG1A","TOMM6",NA
"286","DPP10-AS1","RAI1",NA
"287",NA,"XKR9",NA
"288",NA,"ARAFP2",NA
"289",NA,"VAMP2",NA
"290",NA,"LCLAT1",NA
"291",NA,"TAF10",NA
"292",NA,"HSP90AA5P",NA
"293",NA,"COX6C",NA
"294",NA,"UQCRQ",NA
"295",NA,"CRACDL",NA
"296",NA,"TINAGL1",NA
"297",NA,"PINLYP",NA
"298",NA,"SPATA2",NA
"299",NA,"LTBP4",NA
"300",NA,"ASB18",NA
"301",NA,"CACHD1",NA
"302",NA,"ADCY6",NA
"303",NA,"TMEM205",NA
"304",NA,"RPL19P12",NA
"305",NA,"SF3B5",NA
"306",NA,"ARHGAP32",NA
"307",NA,"LOC644277",NA
"308",NA,"FLJ42393",NA
"309",NA,"NDUFB2",NA
"310",NA,"H4C11",NA
"311",NA,"TMEM131",NA
"312",NA,"TBXAS1",NA
"313",NA,"NACA4P",NA
"314",NA,"SNRPD2",NA
"315",NA,"VPS18",NA
"316",NA,"CLN8",NA
"317",NA,"PET100",NA
"318",NA,"SUZ12P1",NA
"319",NA,"S100A6",NA
"320",NA,"SH3BP2",NA
"321",NA,"H2AC4",NA
"322",NA,"PHB1P19",NA
"323",NA,"RTRAF",NA
"324",NA,"NDUFB11",NA
"325",NA,"ZC3H18",NA
"326",NA,"C9orf163",NA
"327",NA,"RPL7A",NA
"328",NA,"RPS15",NA
"329",NA,"SLIRP",NA
"330",NA,"EVX1",NA
"331",NA,"LRRC2",NA
"332",NA,"SZT2",NA
"333",NA,"MORC2-AS1",NA
"334",NA,"NDUFAF8",NA
"335",NA,"DAD1",NA
"336",NA,"H3-4",NA
"337",NA,"PIP5K1C",NA
"338",NA,"TNFRSF1B",NA
"339",NA,"C1orf54",NA
"340",NA,"USP49",NA
"341",NA,"SNRPG",NA
"342",NA,"SNORA74A",NA
"343",NA,"IAPP",NA
"344",NA,"H3C13",NA
"345",NA,"NDUFB9",NA
"346",NA,"UBE2J2",NA
"347",NA,"EIF3H",NA
"348",NA,"H3C4",NA
"349",NA,"RPL9",NA
"350",NA,"MRGPRG",NA
"351",NA,"TPSG1",NA
"352",NA,"TOLLIP",NA
"353",NA,"NENF",NA
"354",NA,"MAU2",NA
"355",NA,"RPS15AP10",NA
"356",NA,"NOP10",NA
"357",NA,"NFKBIB",NA
"358",NA,"CPEB2",NA
"359",NA,"BOLA3",NA
"360",NA,"CPD",NA
"361",NA,"OAZ1",NA
"362",NA,"LNPK",NA
"363",NA,"PPP6R1",NA
"364",NA,"H4C12",NA
"365",NA,"IFI27L2",NA
"366",NA,"TIMM8B",NA
"367",NA,"HAR1A",NA
"368",NA,"ATP5MG",NA
"369",NA,"CD86",NA
"370",NA,"CYP2W1",NA
"371",NA,"SSR4",NA
"372",NA,"RPS2P32",NA
"373",NA,"CXADR",NA
"374",NA,"SF3B4",NA
"375",NA,"SNHG6",NA
"376",NA,"EEF1B2",NA
"377",NA,"UQCC2",NA
"378",NA,"PFAS",NA
"379",NA,"DAGLA",NA
"380",NA,"H3C2",NA
"381",NA,"LSM7",NA
"382",NA,"PPM1A",NA
"383",NA,"RPL17",NA
"384",NA,"SMC5",NA
"385",NA,"PHLPP1",NA
"386",NA,"EEF1D",NA
"387",NA,"NDUFB4",NA
"388",NA,"CYGB",NA
"389",NA,"FUT6",NA
"390",NA,"LSM8",NA
"391",NA,"TXN",NA
"392",NA,"GSTP1",NA
"393",NA,"COX14",NA
"394",NA,"ARGFXP2",NA
"395",NA,"TNS2-AS1",NA
"396",NA,"AP1B1",NA
"397",NA,"CIMAP1D",NA
"398",NA,"SNORA2A",NA
"399",NA,"MEGF8",NA
"400",NA,"EN2",NA
"401",NA,"ZNF397",NA
"402",NA,"SNORA53",NA
"403",NA,"EPHX3",NA
"404",NA,"TLCD3B",NA
"405",NA,"HERC3",NA
"406",NA,"SLC22A31",NA
"407",NA,"UBXN7",NA
"408",NA,"RPA4",NA
"409",NA,"SSTR3",NA
"410",NA,"ATP5MC2",NA
"411",NA,"RPL10L",NA
"412",NA,"PSD",NA
"413",NA,"ATP5ME",NA
"414",NA,"COX16",NA
"415",NA,"COX6A1",NA
"416",NA,"NOTCH1",NA
"417",NA,"EEF1G",NA
"418",NA,"KRT79",NA
"419",NA,"MANF",NA
"420",NA,"PPME1",NA
"421",NA,"NPAP1",NA
"422",NA,"TMEM106C",NA
"423",NA,"PSME2",NA
"424",NA,"KMT2E-AS1",NA
"425",NA,"ATP6V1F",NA
"426",NA,"H2AC7",NA
"427",NA,"RPL18",NA
"428",NA,"COX7A2",NA
"429",NA,"PPP1R16B",NA
