"","Canonical","NonCanonical","Atypical"
"343","GJD4","WNT6",NA
"344","SLC2A7","APOF",NA
"345","TMCC2","SP7",NA
"346","CDH23","FUT7",NA
"347","RUVBL1","GRID2IP",NA
"348","CLDN6","CLDN6",NA
"349","BCAR1","OTOR",NA
"350","IQSEC3","CLEC1B",NA
"351","NOL4","WNT10B",NA
"352","SHANK1","HES7",NA
"353","PTPRN","AVPR2",NA
"354","GNAI3","DAND5",NA
"355","UNC13D","RHAG",NA
"356","MAS1L","SPX",NA
"357","ADAM7","C2orf73",NA
"358","OR2A5","WDR64",NA
"359","RPS13","IQSEC3",NA
"360","LTA","ZNF563",NA
"361","RBPJL","GALNT9",NA
"362","LINC01623","NR5A1",NA
"363","DIRAS2","LOC339059",NA
"364","LAMB4","ASTN1",NA
"365","RNASE11","ST8SIA5",NA
"366","PLEKHG4B","PAGE3",NA
"367","BUB1B","ARPC2",NA
"368","CRHR1","OR2M7",NA
"369","CYLC1","MAPT",NA
"370","SLC22A2","P2RX3",NA
"371","WNT3A","ZNF229",NA
"372","IL34","UNC13D",NA
"373","ADGRF3","EXOC3L2",NA
"374","TMEM232","SLC12A3",NA
"375","NKAIN4","KIR2DS4",NA
"376","AFF3","CNGA3",NA
"377","SIX3","IQCF5",NA
"378","LRRC55","C4orf51",NA
"379","PCDH11Y","LINC00272",NA
"380","AGTR2","OTOS",NA
"381","CCDC85A","IL27",NA
"382","MAPT","ZNF208",NA
"383","INMT","AIPL1",NA
"384","PRSS21","CDH12",NA
"385","GSDMC","EXTL1",NA
"386","OTOR","CIAO2A",NA
"387","OR52N1","TPD52L3",NA
"388","ARMC12","SCN4A",NA
"389","NDUFB3","OPRD1",NA
"390","AVPR2","SLC39A12",NA
"391","CST9L","CHCT1",NA
"392","SNHG9","MASP1",NA
"393","C10orf53","LINC01623",NA
"394","TMCO5A","FGF13",NA
"395","ZNF229","CACNA1I",NA
"396","SPINT2","TM7SF2",NA
"397","TMEM258","SOAT2",NA
"398","USHBP1","ACTN2",NA
"399","LOC339059","CACNG8",NA
"400","DBH","CFAP54",NA
"401","CFAP77","PCARE",NA
"402","ELFN2","GMNC",NA
"403","TRIM61","TRIM42",NA
"404","MORN3","RPL9",NA
"405","IQCF5","RIMS2",NA
"406","LINC01565","SLC22A14",NA
"407","IL27","CFAP95",NA
"408","PAX6","GARIN1B",NA
"409","RASGEF1C","CYP4F22",NA
"410","SERPINB11","PLA2G2C",NA
"411","CCT2","RNASE11",NA
"412","UPK1A","HRK",NA
"413","DYNLT1","TMCO5A",NA
"414","ANKUB1","APBA1",NA
"415","EXTL1","ABCA4",NA
"416","TPPP2","LINGO2",NA
"417","NR5A1","LTA",NA
"418","CIBAR2","KCNB2",NA
"419","LINGO1","AFF3",NA
"420","SPANXN5","TACR3",NA
"421","POLR2G","DHX15",NA
"422","CIMIP4","SOX21",NA
"423","ZNF208","GPR156",NA
"424","ACP4","GSC",NA
"425","TEKT1","NDUFAB1",NA
"426","CAVIN4","PCDH10",NA
"427","SPEM1","TEKT1",NA
"428","CLEC1B","PAQR7",NA
"429","ZIC3","CCT2",NA
