"","Canonical","NonCanonical","Atypical"
"210","ANGPTL7","USP39","NDUFA3"
"211","ADAM28","FLJ42393","RPL30"
"212","SMPD1","TRAPPC2L","QSOX2"
"213","PKIB","TIMM50","CDH22"
"214","VPS13D","H4C11","RPL23AP87"
"215","SMIM14","GUK1","DUSP26"
"216","SYTL2","H3C13","PIP5K1C"
"217","ASXL1","CCL24","SCARNA23"
"218","AFF1","RPL19P12","RPL34"
"219","TMEM161A","RPS4X","CCL24"
"220","KIF13B","ZNHIT3","RPL23A"
"221","PHACTR4","MIF","B2M"
"222","ADCY6","SS18L2","RPS3A"
"223","PVT1","H2AC13","GABPB1-IT1"
"224","PDRG1","SMIM30","KDM6B"
"225","ZNF397","PSMD8","FUT1"
"226","MIA3","TMEM14EP","RPS23"
"227","TRIP13","UQCR11","COL7A1"
"228","DHRS11","H3C4","RPS14"
"229","GRIN2D","BCL2L12","KIRREL3"
"230","METTL5","POLR2L","WNT2"
"231","FUCA1","HAX1","RPL41"
"232","LINC02481","GPN1","TOMM7"
"233","GNPTAB","DTYMK","COL5A3"
"234","MAMDC2","H4C12","SMIM14"
"235","ANXA9","ARID1A","RPL27"
"236","TRAK2","POLR1H","TDP2"
"237","AJUBA","RPL8","PHGR1"
"238","TOMM6","LTBP4","APLN"
"239","ABCA5","PPIAP80","CBX2"
"240","SALL4","H4C5","SLC29A1"
"241","MIER1","H3C8","LINC03040"
"242","PLCL2","RPL6","RPS10"
"243","RUNDC3B","ATP5MF","TMBIM4"
"244","CHCHD6","COA1","RPL10"
"245","KCNJ6","SF3B6","ARAFP2"
"246","ENPP6","MRPL33","CD52"
"247","CA2","MRPL45","CEMIP"
"248","RAE1","H4C4","CLEC10A"
"249","SEC14L5","COX14","RPS15A"
"250","RNASEH2B","PTTG1","RPS18"
"251","GRAMD2B","PDE4DIPP2","MT1M"
"252","DSCAML1","USP49","RPS27"
"253","RETSAT","RPS16","ACAP3"
"254","CLDN23","PPP1R14B","SPIB"
"255","SP100","NDUFAF3","RPL19"
"256","NLGN1","RPL38","LMTK3"
"257","EPHX4","H3C2","CELSR2"
"258","TBC1D16","ARHGEF11","USP49"
"259","ZFYVE28","RPSAP52","KIAA0319L"
"260","SMIM29","RPL14","RPL36AL"
"261","LSM8","H2BC4","COL8A1"
"262","TET2","ARMC10","PCDH17"
"263","DOP1B","KDM6B","RPS27L"
"264","FMN2","NDUFB4","S100A10"
"265","DUSP14","MGRN1","MACC1"
"266","ST6GALNAC6","PHACTR4","HERPUD1"
"267","MCM7","CCT4","DLL4"
"268","BEST4","APRT","C1orf216"
"269","FAM107A","SMC5","PLLP"
"270","PFDN2","CCNQ","ROBO4"
"271","UBE2V1","CISD1","RAVER1"
"272","MAGI3","TMEM14C","FBXO25"
"273","NR3C2","AKNA","RUNX1"
"274","RFX6","EBPL","CCNF"
"275","PYCR1","RPL35A","RPS12"
"276","ACADS","RPL13","SLC22A3"
"277","PTP4A3","ATP5MG","TAF4"
"278","AKIP1","H2AC20","POLR2J2"
"279","AOC1","MRPS15","ACOT13"
"280","PLCXD3","RANBP1","TSTD1"
"281","MTHFR","TRAPPC5","MT1E"
"282","CXCL12","RPS5","TPT1"
"283","GHR","PTTG2","CPNE7"
"284","BCL2","MRPL47","LINC01000"
"285","MIR17HG","ZFAS1","RPS17"
"286","GOLGA2","H3C10","EEF1B2"
"287","RPL26L1","RPLP0","SULT2B1"
"288","PHLPP2","NENF","NKD2"
"289","SCNN1B","VPS39","HLA-DPA1"
"290","PDPN","TBCA","NDUFS5"
"291","PDE7B","RPS23","LINC01001"
"292","H2AC4","RPL11","RPL31"
"293","MRPL58","EXOSC1","EAF2"
"294","NAA10","RPL7","TPX2"
"295","UGDH","MRPS18C","MROH7"
"296","LNPK","ATN1","RPL24"
"297","FNIP2","TMEM14B","RPS28"
"298","FAP","MRPL21","MSX1"
"299","POLR2G","ARPIN","GBP6"
"300","CBLN2","MUC3B","CFI"
"301","H2AC17","OAZ1","TNFSF15"
"302","CALM1","DNPH1","RPL37"
"303","PPIA","DPY30","GNL3L"
"304","MTM1","SSBP1","RPL23P8"
"305","SMC5","SETD1B","DENND2A"
"306","YDJC","CLNS1A","CA7"
"307","COL2A1","TMSB10","PIERCE2"
"308","HAGLR","RAPGEF1","CDH3"
"309","SMARCC1","DGUOK","CRAMP1"
"310","RAVER2","CMC2","MT1H"
"311","HERC3","CUTA","DPEP1"
"312","TIMM17B","RPS10P7","RGS16"
"313","MCFD2","RPS20","PLAGL2"
"314","PLXNA2","TPRKB","SNHG17"
"315","LINC00597","PFDN5","LAMA5"
"316","MOB3B","MAGI1","GGTA1"
"317","MILIP","OXLD1","SEMA4D"
"318","THBS2","CLN8","RRP1"
"319","ROR1","RPL23P8","COL5A1"
"320","MFSD4A","DKFZP586I1420","TFF3"
"321","FBLIM1","RPS14","RPS11"
"322","SEMA4G","VPS13D","AGR2"
"323","TMEM30B","MRPL9","LRRC26"
"324","NKX2-2","EEF1B2","PPP1R16B"
"325","PCSK2","MRPL13","SH3BP2"
"326","MRPL36","GABPB1-IT1","RNASE1"
"327","ANK3","UQCC5","UNKL"
"328","NKD2","PSMA7","TEX11"
"329","SKP2","TCEANC2","CPZ"
"330","MRPL17","TIMM9","C6orf132"
"331","LOC285097","PRKAA1","UCN2"
"332","NLE1","NDUFS5","CA2"
"333","BRPF3","PSENEN","NR5A2"
"334","CDCA3","RPL36A","LOC100506253"
"335","LSM5","PURA","ENG"
"336","EIF3B","MRPL17","TGIF2"
"337","PAFAH1B3","NACA","COL4A1"
"338","CNNM4","PTRH2","ANKRD13B"
"339","FHIP1B","UBE2NL","ZFTA"
"340","BMP2","NDUFB2","OXTR"
"341","RPA3","PLXNA2","RPL38"
"342","EXOSC4","RPL10A","COL12A1"
"343","ATP1A2","HMBS","LINC00174"
"344","PTPN18","MRPS33","PLVAP"
"345","CAPN13","EMC6","F2R"
"346","SDCBP2","SCARNA7","RPS6"
"347","SH3RF1","SNORD15A","CDH13"
"348","CHGB","SH3BP2","RPS24"
"349","STYK1","HIPK2","ASAP1"
"350","ADAMDEC1","PFDN2","RPL37A"
"351","TEX30","LINC00597","KRTAP13-2"
"352","SMAD2","BAZ2A","MYOM3"
"353","FGFR2","CWC15","CLECL1P"
"354","UST","MRPL32","SPRY4"
"355","MZT1","RPS29","KRT19"
"356","POP7","NOP10","ZNF514"
"357","INSM1","RRP36","PIK3R3"
"358","ACD","IFITM3","ATP5F1E"
"359","MACC1","TMEM223","RPL35A"
"360","SST","RPS15","MLXIPL"
"361","MTHFD1L","MZT2B","CALML4"
"362","ASAP2","PFDN6","RPS26"
"363","GATC","MTHFR","LAMB2"
"364","GFRA2","RPS18","MEX3A"
"365","PDCD2L","MRPL37","CA1"
"366","LCOR","H2BC5","RPLP1"
"367","BYSL","SNRK","LINC01555"
"368","PPP2R3A","PARK7","MICOS10P1"
"369","H2AC13","LCLAT1","GUCA2B"
"370","PTGER4","PDCD2","KRT81"
"371","SULT2B1","ATP5PD","TIE1"
"372","WSCD1","PRDX4","EEPD1"
"373","MMP11","WDR83OS","PRSS2"
"374","ESM1","TP53INP2","SIX1"
"375","BEST2","BRPF3","RPL39P5"
"376","IL6ST-DT","DYNLT1","LXN"
"377","MSANTD3","TOMM22","TMEM141"
"378","SIDT1","HMGB1","TEAD4"
"379","ZNF91","GCSH","PLK1"
"380","CYP4V2","COX6B1","KRT73"
"381","STXBP5","RPS11","MT1F"
"382","MNX1-AS1","RPS28","RPLP2"
"383","ARMC10","MRPS28","CD93"
"384","SKA3","CTNND1","CFD"
"385","MCTS1","RPL19","SPINK2"
"386","H2AC21","PCBD1","MT1G"
"387","PHLPP1","EEF1G","S100A6"
"388","SLC26A7","MED12","GATA2-AS1"
"389","ANGPT2","ZNF593","RPS10P7"
"390","TRANK1","DMXL1","RPL23"
"391","FRMD4B","MPLKIP","TNFRSF1B"
"392","PRDX6-AS1","RPL32","FOXM1"
"393","PLS1","SMIM29","MT1L"
"394","SRSF8","SMUG1","PRB3"
"395","TMT1A","MRPL48","ANG"
"396","PLCD3","RPL37A","H4C3"
"397","LEMD1","SNF8","CAPN13"
"398","POLR2F","NDUFB9","STC1"
"399","LY6G6D","SP2","ZMYND8"
"400","ETV4","FAM174C","RPS7"
"401","SLC15A2","PSMA6","TUBB3"
"402","SON","OLA1","HECW2"
"403","ARHGAP36","RPL23","TONSL"
"404","COL8A1","ZNRD2","RPS16"
"405","H2AC7","RPL18A","STRA6"
"406","MTUS1","RPPH1","TMEM171"
"407","SMPD3","COX7B","RPL14"
"408","SLC4A4","CENPN","MT1B"
"409","UBE2NL","TOMM7","CD48"
"410","SNRPE","PTGR3","ADGRL4"
"411","SNRPF","IFITM1","RPS8"
"412","KIRREL3","RPS24","RPL32"
"413","NOVA1","H2BC10","GNG12-AS1"
"414","GTF2F2","RPS17","EPHX4"
"415","TFDP2","GAPDH","TMSB4XP8"
"416","ZCCHC2","RABGAP1","ADAMTS6"
"417","HSD11B2","COPRS","PLEKHS1"
"418","CLN8","MRPL14","C2orf88"
"419","USP53","CCZ1","PDPN"
"420","H3C15","BZW2","RPL39"
"421","PTPRH","VKORC1","FEV"
"422","AGTR1","RPL12","GCG"
"423","EXOSC8","HERC4","NFE2L3"
"424","IRAK1","HSD17B10","SHISA4"
"425","NANOS3","SOD1","PPP1R14A"
"426","CANT1","PSMA1","PKIB"
"427","GLYATL3","UQCRH","HIP1"
"428","GNA14","GGCT","FHL1"
"429","PARM1","RPSAP36","SMIM6"
"430","TIMP1","MRPL20","IGFL2-AS1"
"431","MATN2","POLE4","LINC00941"
"432","NTMT1","MON2","SCGN"
"433","ANKRD20A21P","COX16","NYX"
"434","MRPS24","FDX2","TP53TG1"
"435","RPUSD1","CMIP","RPS20"
"436","AUNIP","DAP3","GPRIN1"
"437","CBFA2T3","UBE2C","RRP12"
"438","H2AC20","POLR2H","TICRR"
"439","CADM3","ZNF407","GDPD5"
"440","LGR4","RPS27","SCARNA9"
"441","MAD2L2","ANKFY1","IFT56"
"442","CDHR5","UQCRB","RAB36"
"443","KCNMA1","RPL18","SNTB1"
"444","TPX2","TMEM126A","KIF14"
"445","SLC35A3","RPL26","CSGALNACT1"
"446","ZNF540","NDUFB7","PLA2G10"
"447","ANKRD39","COPZ1","GOLGA6L10"
"448","VSX1","RAPGEF6","PAQR4"
"449","H2AC8","CLPP","SMPDL3A"
"450","HOXD1","GSTP1","VAMP2"
"451","EEF1AKMT1","UQCRQ","LOXL2"
"452","C7orf50","FBL","SNHG29"
"453","ZFP91","KCTD21-AS1","CELSR3"
"454","DEF8","RPL31","FOLR2"
"455","SPC25","H2BC14","SULT1A2"
"456","MRPL55","MIF-AS1","MGC32805"
"457","FAS","FHIP2A","SHCBP1"
"458","MIF","PDZD11","AFAP1L1"
"459","H2AC12","TUBA1B","RHPN1"
"460","PPP1R12B","MYCBP","H4C2"
"461","SPG11","RPS6","TSPAN1"
"462","CYP1A2","UBXN1","INSL5"
"463","CBX3","COA8","RPL13A"
"464","CLIC5","LSM10","MEI1"
"465","LINC00891","C9orf163","SPATA33"
"466","EXPH5","H3C7","UGDH"
"467","OR8D4","TADA2B","STXBP1"
"468","CPNE8","RPP25L","KLRB1"
"469","KRAS","VPS25","TMEM238L"
"470","ELOC","NACA2","MOCS3"
"471","FZD5","COX5B","ARGFXP2"
"472","KLF4","PKD1","PCDHB14"
"473","LAS1L","HINT1","SIX4"
"474","BZW2","HERC3","ATAD3B"
"475","NUTF2","SNORD3B-1","C5orf34"
"476","CCNB1IP1","FAM193A","TCF7"
