"","Canonical","NonCanonical","Atypical"
"370","SKP1","CLDN6",NA
"371","BPIFA4P","TCEA2",NA
"372","TMEM114","CCKBR",NA
"373","NDUFS7","ISYNA1",NA
"374","KIF17","TMEFF2",NA
"375","ALPG","ALOXE3",NA
"376","CACNA1H","ABCE1",NA
"377","C2orf50","CERS4",NA
"378","NAA25","ALOX15B",NA
"379","LHX9","SLC25A47",NA
"380","GNG7","LMF1",NA
"381","PRRT4","ACTL9",NA
"382","HAP1","TSSK6",NA
"383","MOSPD3","GALNT17",NA
"384","FRMPD1","SPRNP1",NA
"385","ZDHHC1","SRSF3",NA
"386","NCR3","KIF17",NA
"387","SSTR3","GLYAT",NA
"388","PAX3","GUCA1A",NA
"389","SGSH","PRRT4",NA
"390","RGS8","CUX2",NA
"391","LINC02843","C4orf51",NA
"392","UGT3A1","SIRPB2",NA
"393","OR11A1","PCDHA13",NA
"394","NEUROG1","FAM163B",NA
"395","LCE4A","PRL",NA
"396","MAPK15","CATIP",NA
"397","PAX4","PRSS57",NA
"398","LTBP3","CYP1A2",NA
"399","FGF13","LAMB4",NA
"400","TMED2","HNRNPA1",NA
"401","ZPBP","RHO",NA
"402","UGP2","AMHR2",NA
"403","CD300LB","TM9SF3",NA
"404","KY","SLC22A8",NA
"405","UBASH3A","POMC",NA
"406","BCAM","RAD23B",NA
"407","HRK","ALPG",NA
"408","SLC22A2","FOXE1",NA
"409","NLRP4","CYTH3",NA
"410","FRMPD4","CALML6",NA
"411","UNC13D","WNT10B",NA
"412","DLGAP2","PLA2G1B",NA
"413","C4orf51","INSRR",NA
"414","SLC36A2","OSTC",NA
"415","CCKBR","MARCKSL1",NA
"416","TEX13A","LRRC55",NA
"417","ATP1A4","CCDC166",NA
"418","CACNB1","SPANXN2",NA
"419","GAL3ST3","LINC01565",NA
"420","UTS2R","C22orf42",NA
"421","CHRNB4","SAG",NA
"422","OR10G7","SLC22A2",NA
"423","TUBB7P","CA5A",NA
"424","SLC38A3","PAX6",NA
"425","PAEP","CIMAP1B",NA
"426","CFAP100","PDE2A",NA
"427","GREB1","PYY2",NA
"428","HSPG2","CLEC2A",NA
"429","CALML6","COL25A1",NA
"430","FUT5","DGCR5",NA
"431","AQP4","NEUROD6",NA
"432","ADGRF3","ARSH",NA
"433","CADM3","UQCRFS1",NA
"434","SPDYE4","RNF17",NA
"435","PFN3","SLC22A14",NA
"436","PLEKHD1","GOLGA2P11",NA
"437","ACP7","PRDM9",NA
"438","ACOXL","TEX13A",NA
"439","TSGA10IP","ACTR2",NA
"440","CYP4F22","CACNB1",NA
"441","TSGA13","KCNIP3",NA
"442","KLHL38","LRFN2",NA
"443","CYP1A2","SSB",NA
"444","PDCD1","SIPA1",NA
"445","COL25A1","ATP5MG",NA
"446","ZNF837","DAZAP2",NA
"447","MARK4","IFITM5",NA
"448","CCDC40","TSPAN10",NA
"449","SLC25A42","PAX3",NA
"450","GHRHR","CDK5R2",NA
"451","CCL27","ADNP2",NA
"452","TNNT1","PKD1L2",NA
"453","ARMC12","UNC13D",NA
"454","ABCB11","RNASE11",NA
"455","SRSF1","SLC6A3",NA
"456","PPP2R3B","MATK",NA
"457","IL31RA","NTRK3",NA
"458","SLC6A3","KLK5",NA
"459","HHLA1","GARIN4",NA
"460","NTRK3","LYZL6",NA
"461","NPM2","GHITM",NA
"462","LHX5","TRBV19",NA
"463","SIRPB2","PAX1",NA
"464","ST8SIA5","ADCY1",NA
"465","ABCC8","MOBP",NA
"466","GARIN1B","KCNK3",NA
"467","SERPINB12","IL27",NA
"468","LRRC61","SPACA6",NA
"469","SNHG9","CYP4F22",NA
"470","KCTD19","SLC6A17",NA
"471","RAX2","SLC15A3",NA
"472","ZNF653","PLAAT5",NA
"473","DBX1","OR2F1",NA
"474","TSPAN10","POR",NA
"475","SYCN","NLRP4",NA
"476","CTF1","ARID3C",NA
"477","C12orf54","ARHGAP33",NA
"478","GRM1","TTLL8",NA
"479","SPEM1","BCAM",NA
"480","TLR9","FAM167A",NA
"481","CMA1","SNORA77",NA
"482","NDST4","CST5",NA
"483","SCN2B","RPH3A",NA
"484","TMBIM6","CCBE1",NA
"485","LRIT1","C5orf64",NA
"486","RAD23B","SLC36A2",NA
"487","TENT2","APOA5",NA
"488","SLC6A17","PANX2",NA
"489","MOBP","LCE2D",NA
"490","MASP1","YJEFN3",NA
"491","U2SURP","APBA1",NA
"492","PRR23C","LRRC61",NA
"493","CEACAM21","ST13",NA
"494","AANAT","NCF1",NA
"495","JAKMIP3","GPR26",NA
"496","GRM2","ACP7",NA
"497","YJEFN3","CLDND2",NA
"498","KCNIP3","RYR1",NA
"499","FBXL19","ELAVL4",NA
"500","WNT7B","TMEM114",NA
"501","GGN","NEUROG1",NA
"502","GRIK5","GRM1",NA
"503","RELB","EIF4E1B",NA
"504","TNFRSF18","TNNT1",NA
"505","MT1IP","MAPK8IP2",NA
"506","STAC2","ELSPBP1",NA
"507","ZNRF4","WDR93",NA
"508","LCN8","ZNF843",NA
"509","SOX10","BCL9L",NA
"510","GOLGA2P11","C2orf50",NA
"511","OR7C2","ERICH3",NA
"512","MED11","CCT2",NA
"513","CHCHD2","LRIT1",NA
"514","PARP10","CLEC4C",NA
"515","CHST13","TEX44",NA
"516","KIF25","GRID2IP",NA
"517","OR7A10","KCNQ2",NA
"518","OR2A5","FGF12",NA
"519","FOXE1","AFF3",NA
"520","GABRR3","RBFOX3",NA
"521","CATSPER4","OR1F1",NA
"522","PNPLA5","RACGAP1",NA
"523","ZNF843","OR2A12",NA
"524","C12orf42","GARIN1B",NA
"525","NKPD1","LSM5",NA
"526","GRID2IP","AASDHPPT",NA
"527","FAM167A","CIMIP4",NA
"528","CYP26C1","SGSH",NA
"529","ADCY1","ZNF653",NA
"530","WDR93","GSG1",NA
"531","UBE2D1","FOXD3",NA
"532","BCLAF1","CYP2D6",NA
"533","SYPL2","OR2A5",NA
"534","TCERG1L","KCNT1",NA
"535","ATCAY","C12orf42",NA
"536","NEUROD6","KCNH6",NA
"537","SLC28A1","EIF3A",NA
"538","DOC2B","PLEKHF1",NA
"539","POMC","PCARE",NA
"540","CLEC2A","HOXB1",NA
"541","ZMYND10","ARMC12",NA
"542","DEFB132","SOX10",NA
"543","CFAP144","RNF151",NA
"544","ATP6V1B1","PAX4",NA
"545","SYNDIG1L","TMEM255B",NA
"546","KCNQ2","SOX21",NA
"547","TMEM132E","MED11",NA
"548","LYZL6","TSGA13",NA
"549","CIMIP4","PNPLA5",NA
"550","NELL1","RHBG",NA
"551","OR1F1","APC2",NA
"552","PPP1R1A","MORN3",NA
"553","KCNH6","ACY1",NA
"554","SLC22A14","CCDC85A",NA
"555","SCN5A","KLK14",NA
"556","PTH1R","SLC28A1",NA
"557","LINC01193","ATP5PD",NA
"558","ATP8B3","NR0B1",NA
"559","RNASE11","LCE1A",NA
"560","PHYHIP","BCLAF1",NA
"561","RHBG","PDE6G",NA
"562","CYP1A1","MYL11",NA
"563","CCDC63","NRXN1",NA
"564","PANX2","SYNC",NA
"565","MS4A15","SYNDIG1L",NA
"566","MYOZ3","CACNA1B",NA
"567","YWHAQ","FRMPD4",NA
"568","GRIN2C","SRY",NA
"569","GLYAT","SLC29A4",NA
"570","CFAP77","NDST4",NA
"571","PTPRN","CHCHD2",NA
"572","PABPN1L","GRM2",NA
"573","C5orf64","TLR9",NA
"574","MAD2L2","SPOCK3",NA
"575","CALM2","SPANXN3",NA
"576","NPPC","SPACDR",NA
"577","SPANXN2","PHYHIP",NA
"578","ADD2","APLP2",NA
"579","PRTN3","LMAN1L",NA
"580","EIF4E1B","KCNN1",NA
"581","KCNK4","CFAP61",NA
"582","ARSH","ATP6V1B1",NA
"583","PSMD12","TENM2",NA
"584","LKAAEAR1","VGLL2",NA
"585","CCDC85A","KIAA0825",NA
"586","MAS1L","DUSP13B",NA
"587","PFKFB1","ATP2B2",NA
"588","ALDH1L1","ASB10",NA
"589","CNFN","SCN1B",NA
"590","TEX44","SLC26A5",NA
"591","STOML3","NKPD1",NA
"592","PYDC1","ALPP",NA
"593","PLAAT5","COL23A1",NA
"594","GHITM","TTYH1",NA
"595","CEACAM4","APOF",NA
"596","PCSK2","OR2M4",NA
"597","UPK1A","LPA",NA
"598","OR9A2","IARS2",NA
"599","RAD21L1","PMCHL1",NA
"600","LCE1A","CFAP107",NA
"601","CFAP46","HHIPL1",NA
"602","AKAP14","CYP1A1",NA
"603","MYO18B","TCF15",NA
"604","ACBD3","CMA1",NA
"605","DNAJB8","TSGA10IP",NA
"606","LMAN1L","STT3B",NA
"607","RHOXF1","FGF13",NA
"608","PCARE","SPTA1",NA
"609","KMT2B","LINC00315",NA
"610","STT3B","ABCC8",NA
"611","SLC25A41","TAF1D",NA
"612","MRPL23","UBE2D1",NA
"613","PKD1L2","SNHG9",NA
"614","OTUD6A","SLC38A3",NA
"615","ZNF513","GARIN3",NA
"616","APOA5","FOXH1",NA
"617","EPHA6","ZFP91",NA
"618","C1QTNF4","UBE2A",NA
"619","NRXN1","UTS2R",NA
"620","IFT122P3","SYNGR1",NA
"621","RIN3","CHST13",NA
"622","CRMA","ADCY8",NA
"623","AWAT1","ZNF229",NA
"624","PRSS55","RXFP2",NA
"625","RCVRN","EMILIN1",NA
"626","RYR1","KCP",NA
"627","RNF151","MYCBPAP",NA
"628","APOF","FOXL1",NA
"629","CDK5R2","PPP2R3B",NA
"630","RTL1","OR10G2",NA
"631","IGFLR1","TCERG1L",NA
"632","DAZAP2","ADGRF3",NA
"633","SPANXN5","ZNF513",NA
"634","ADIG","SEZ6L2",NA
"635","DRC7","TRIM42",NA
"636","GFRA3","PPP1R1A",NA
"637","FGF21","NELL1",NA
"638","ELAVL4","CABP1",NA
"639","SEZ6L2","MRPL33",NA
"640","MYH7","DR1",NA
"641","SCN1B","OTOP2",NA
"642","MAPK8IP2","TRIM50",NA
"643","CHD5","KIF25",NA
"644","CDH16","SIAH3",NA
"645","CCBE1","PTPRN",NA
"646","IRS4","UBQLN1",NA
"647","TEX35","CTF1",NA
"648","PROKR2","HAP1",NA
"649","LNCRI","ACTN2",NA
"650","LBX1","STAC2",NA
"651","CLCNKA","CEACAM21",NA
"652","UNCX","DRAXIN",NA
"653","XAGE3","CEACAM4",NA
"654","OR10H5","NET1",NA
"655","SPANXN3","UGP2",NA
"656","DUSP13B","CDK4",NA
"657","MYL11","SPACA7",NA
"658","SLC26A5","ZNRF4",NA
"659","HAPLN2","SIGLEC8",NA
"660","AJM1","ADAM7",NA
"661","USP2","DAND5",NA
"662","SLC29A4","PARP10",NA
"663","PRM2","CCDC74B",NA
"664","P2RX3","HTN1",NA
"665","AFF3","ZNF211",NA
"666","BCL9L","SLC2A6",NA
"667","ACTN2","CFAP100",NA
"668","SPACA6","SMR3A",NA
"669","HSD11B1L","NDUFAB1",NA
"670","GSG1L","PLEKHD1",NA
"671","GRM5","HHLA1",NA
