"","Canonical","NonCanonical","Atypical"
"382","CLIP3","CD28",NA
"383","SUV39H1","PSD",NA
"384","GAL3ST3","ALPL",NA
"385","LCE3D","VN1R2",NA
"386","CD5","GALNT16",NA
"387","CCNJL","TSSK4",NA
"388","PKP2","DBNDD1",NA
"389","IQCF5","CABP4",NA
"390","GPR4","PEX5L",NA
"391","TERB1","SAXO4",NA
"392","ENPP7","ABHD17C",NA
"393","TYRO3","CANX",NA
"394","GHRH","CSF2",NA
"395","ARMC12","RUNDC3A",NA
"396","DBNDD1","LINC00314",NA
"397","OR1J2","TP53TG5",NA
"398","TMCO5A","LOC654780",NA
"399","CCNG1","WFDC5",NA
"400","FCRL6","CCDC13",NA
"401","MFGE8","SPOCD1",NA
"402","CLEC14A","AVPR1A",NA
"403","MYOC","PRSS57",NA
"404","TGM6","MPP2",NA
"405","MYT1","NIBAN1",NA
"406","DEFB118","KCNK12",NA
"407","RPL14","HTR5A",NA
"408","TYR","TMED3",NA
"409","SPRR4","CD300LG",NA
"410","TSSK2","SPIC",NA
"411","MS4A10","KCP",NA
"412","LINC00308","INSRR",NA
"413","NPTXR","NEU2",NA
"414","LYPD1","TEX56P",NA
"415","GPR61","RAD21",NA
"416","LRRC74A","GPR27",NA
"417","PRSS41","CLIP3",NA
"418","DCK","CSMD3",NA
"419","KASH5","CAPN14",NA
"420","XIRP1","PCDH7",NA
"421","PSD","OR52N2",NA
"422","FAIM2","ARMT1",NA
"423","PRR30","NECAB2",NA
"424","LILRA3","SLC25A34",NA
"425","LYPD3","TGM1",NA
"426","CFP","TMEM150B",NA
"427","COL5A3","RCVRN",NA
"428","SLC25A34","TSPAN6",NA
"429","LTB4R","TERB1",NA
"430","PCDHGA7","CHRDL2",NA
"431","CRLF2","CPLX2",NA
"432","CYP11B2","FBXW10B",NA
"433","EVX1","TMC2",NA
"434","TMEM198","DDX10",NA
"435","BTBD17","OR6Q1",NA
"436","LCE2A","C16orf96",NA
"437","TMEM87B","HIKESHI",NA
"438","SPAM1","TMEM59",NA
"439","CDH16","IL17F",NA
"440","HTR3C","PLPPR4",NA
"441","NTSR2","GAS2L2",NA
"442","MMP16","PEAR1",NA
"443","OR4C6","FAM225A",NA
"444","EBF3","MFGE8",NA
"445","CSN2","TMEM89",NA
"446","PLEKHH2","PSKH2",NA
"447","NHLH1","DBI",NA
"448","CCNP","PHYHD1",NA
"449","RGSL1","LINGO1",NA
"450","ALPL","COL9A2",NA
"451","SPOCD1","COL26A1",NA
"452","GRAP","DOK3",NA
"453","RETN","GAL3ST3",NA
"454","OR2T10","COLEC12",NA
"455","CLEC4E","STARD3NL",NA
"456","WFDC5","KRT33B",NA
"457","TRIM46","LCE2A",NA
"458","CIMIP2B","MED30",NA
"459","CARD14","EBF3",NA
"460","IL20RA","RTL5",NA
"461","GRIP2","LHX5",NA
"462","C16orf96","ALG14",NA
"463","IDI1","CCDC62",NA
"464","SERPINE1","SPHKAP",NA
"465","GNG3","GRIN2D",NA
"466","PRR35","PCDHB17P",NA
"467","NACA","TTTY13",NA
"468","HBZ","PFAS",NA
"469","SLC46A2","BCAN",NA
"470","VAT1L","C1orf185",NA
"471","EXD1","ZNF575",NA
"472","KCNJ5","GPR61",NA
"473","ATOH8","CHRNB2",NA
"474","ACADM","OR2T4",NA
"475","PNO1","OR4X2",NA
"476","GRIN3B","PANK3",NA
"477","GRAP2","CFAP65",NA
"478","FAM225A","CEMP1",NA
"479","TEKT1","HSPA8",NA
"480","MROH9","HMCN2",NA
"481","MPC2","KRTDAP",NA
"482","NOVA2","SMR3A",NA
"483","TMEM132A","DDR2",NA
"484","CFAP46","NPBWR2",NA
"485","SLC6A17","ACTRT2",NA
"486","LCE3A","GGN",NA
"487","KCND3","CACNG1",NA
"488","EEF1E1","EPHB6",NA
"489","TMEM126A","CCNA1",NA
"490","ABCD2","SAMD15",NA
"491","CEACAM18","MMP25",NA
"492","MCM6","SLC1A6",NA
"493","LINC01600","VWA5B1",NA
