"","Canonical","NonCanonical","Atypical"
"222","PKNOX2","NIPAL4","NDN"
"223","ZNRF3","ALOX15","OIT3"
"224","STMN2","OR6C70","TOMM6"
"225","HOXA5","TMEM98","LAT2"
"226","COX5B","HAPLN4","GABRE"
"227","GCSH","DMBX1","PINK1"
"228","CA7","PALM3","DNAAF11"
"229","SYT12","ITM2C","CAMK2D"
"230","SDK1","ATP5PB","ANXA6"
"231","ANKRD34A","HEPACAM2","TASL"
"232","ADAM8","PLEC","IL13RA2"
"233","STARD13","RAB32","RTKN"
"234","UBE3D","COPS2","CENPQ"
"235","FOLR2","SORBS2","HSPA2"
"236","SNRPG","SAMD15","OR1K1"
"237","RHOH","FGF17","SOCS2"
"238","DHFR","BICDL1","SOX9"
"239","PTGES","SLC8A2","FASN"
"240","SNRPF","HIC1","MAGEH1"
"241","UQCR10","PTGES","SNHG1"
"242","SLC22A18AS","GRINA","P2RY14"
"243","NAT1","ELL3","EHMT2"
"244","CD177","OTOS","MFAP5"
"245","HMGCS1","SH3D21","HEPACAM2"
"246","DTYMK","REG4","CEACAM7"
"247","KLHL23","USP38","HOXB13"
"248","PUS7","CARD6","FANCB"
"249","DUSP2","PLEKHA8","ADORA2A"
"250","RPL18A","MAGED2","PUS7"
"251","RIPOR3","COPZ1","C2orf88"
"252","WNT5B","PKNOX2","SESTD1"
"253","CYP1B1","PLPBP","EOMES"
"254","ODC1","ATP2C2","FDCSP"
"255","ANKRD19P","PARP10","SELE"
"256","SPATA2","SLC44A3","ARHGAP15"
"257","MCTP1","CRYBA1","MTFR2"
"258","GINS3","OR4K13","PFDN4"
"259","KHK","PTCRA","GRINA"
"260","NME4","TTC39A","PAPLN"
"261","UHRF1","OR2A25","VSIG2"
"262","CHEK1","NR3C2","DHRS9"
"263","ALDH5A1","EPG5","CNNM2"
"264","PMAIP1","BIRC7","JCHAIN"
"265","ATAD5","ASB15","SPINK2"
"266","IL1RAPL2","C16orf82","EDN3"
"267","CAD","ARMS2","LITAF"
"268","SI","SYT12","KCNMA1"
"269","HOXD11","LRRC19","HBB"
"270","CDRT15","PHPT1","CLCA4"
"271","BUB1","TSPEAR","FZD8"
"272","NT5C3B","RPS14","IRAK3"
"273","COL16A1","GLUL","CD52"
"274","LINC01565","WEE2","FRZB"
"275","DTL","GARIN1A","VWDE"
"276","MSC","ATP6V1C2","CD177"
"277","GAL3ST1","ERICH3","EXO1"
"278","MRPL50","SLC26A1","ACKR1"
"279","DKC1","FFAR4","CD69"
"280","DBF4","SPINK13","GOLGA7B"
"281","GLTP","TCF7L2","SELL"
"282","SSX2IP","RPL3","ERN2"
"283","ITPRIP","IL10RB","MUC2"
"284","SLC25A34","LINC00308","ZYX"
"285","SIX4","DLX2","ENTPD8"
"286","PDGFA","GDPD4","PRDX6"
"287","PLA2G12B","POU5F1","KIAA0513"
"288","F13A1","PTGER4","PLPP3"
"289","SMPD1","MED28","CYBB"
"290","SCN2B","RANBP1","FCGBP"
"291","GAA","NHSL2","PDLIM3"
"292","MCOLN2","RALGAPA2","ALG3"
"293","RACGAP1","SIGLEC8","WNT5B"
"294","TNIK","PLGRKT","UAP1"
"295","LGI2","THEM6","SCD"
"296","POF1B","PROX2","P3H2"
"297","FMO1","RNF39","TMEM9B"
"298","INSL5","RRM1","FRY"
"299","LSM7","NAT2","CBX7"
"300","CIP2A","SRSF1","FAM177B"
"301","RNF112","KLHL4","TESK2"
"302","PAX6","KIF7","VPREB3"
"303","AHCY","ARK2C","GJA4"
"304","TIPIN","NDUFB6","TRPM6"
"305","DACT3","FCGBP","RCAN2"
"306","C11orf86","HTR3C","TRPV1"
"307","MTUS2","MDFI","SELENOP"
"308","NCAPG2","LRRC4C","ABHD3"
"309","DNAH12","THBS3","SPINK4"
"310","PTPRH","ITGA3","TTI1"
"311","EPHX2","GABARAPL2","RECQL4"
"312","CGA","LHFPL4","PKMYT1"
"313","MAD2L1","BCAS4","VCAM1"
"314","SYNPO2","NDUFS7","CLEC3B"
"315","FAM221A","GNRH1","KHK"
"316","RILP","SPATA31H1","DUSP1"
"317","GGH","KLHL34","LPAR6"
"318","ABCA3","SEZ6L2","BEST2"
"319","SST","CYP2C18","SMPD1"
"320","PLAAT2","ISM2","CXCL13"
"321","CA4","MAP3K10","CLDN23"
"322","CDCA7","MALAT1","IGFBP5"
