"","Canonical","NonCanonical","Atypical"
"250","TSSK1B","SPOCD1","SPATA19"
"251","MFAP3L","PEX5L","ACCSL"
"252","ODAD1","LINC02487","CFAP126"
"253","PSORS1C1","TMEM150B","GPRIN1"
"254","ENPP7","SPMIP9","FGF14"
"255","ABHD11","IRF5","IRF5"
"256","GARIN1B","LHX3","TEAD4"
"257","ZIC3","OR52E4","UPK2"
"258","KRT83","NHLH1","AWAT2"
"259","OR4X2","TDRD1","NBEA"
"260","LINC02447","GP9","ZSCAN23"
"261","FGF4","CYP4V2","CYP4F22"
"262","MYO16","SPRY3","ANKRD10"
"263","MPP2","PALM","LINC02487"
"264","GTPBP1","NRIP2","PLEKHG4"
"265","PLA2G4F","PTX4","SPEM1"
"266","OR8S1","SIX2","STAT5A"
"267","CYP4F22","MICOS10","YOD1"
"268","CHID1","OR51T1","IL9"
"269","MYOD1","TEKT1","UGGT2"
"270","CIMAP1C","TAS1R2","HS3ST5"
"271","GP9","NIM1K","KNDC1"
"272","THRSP","TAL2","CNTLN"
"273","SPRY3","POU2F3","ARHGEF25"
"274","F13B","B4GALT1","PLEKHA2"
"275","KCNN1","PRKCG","IRX4"
"276","EPHA8","PCDHGC5","NRM"
"277","SPPL2C","ABHD8","ATG2A"
"278","TEKT1","TDRG1","SIRPD"
"279","SCN10A","TTTY12","KHDC4"
"280","HHAT","PRB1","LECT2"
"281","C10orf55","SYN1","DHX32"
"282","LCE3B","KRT79","CHRNB4"
"283","ARRDC5","TBX1","OR2M7"
"284","RUNDC3A","SPEM1","EYA4"
"285","YIPF1","GTPBP1","TMTC4"
"286","ABHD8","ARFRP1","BIVM"
"287","OR52B6","OR2AT4","RBMS3"
"288","NINL","OR5W2","PHKB"
"289","CBARP","MAGEC3","MYB"
"290","GCM2","SP2","COMTD1"
"291","PVALB","KCNK4","IL36RN"
"292","KISS1R","FRRS1L","MORN3"
"293","ATG9B","KCNK2","POM121L8P"
"294","SPMIP9","CUX2","FOXN2"
"295","BTBD17","TTC16","ZBTB38"
"296","SPRR4","FRMPD1","ADCY3"
"297","APOBEC3H","BMP10","GIPC2"
"298","SEC62","GPATCH8","MFSD6"
"299","PLEKHH2","GDF5","SUPT20H"
"300","CCDC13","OR10A7","DOK6"
"301","TTTY12","OR6Q1","GLYATL1"
"302","SSH2","DOC2A","RAB3C"
"303","RBFOX3","OR4C3","ADAMTS16"
"304","OR10H5","NTN3","ADM5"
"305","OR8J1","VWA5B2","ATP4A"
"306","SLC5A10","TEX44","CYP4B1"
"307","ZNRF4","LRTM2","MYC"
"308","OR2A25","CYP4B1","ZNF548"
"309","ZSCAN5B","SHISA2","IGFN1"
"310","DYDC2","SPATA19","POLH"
"311","GMIP","SSH2","PATE4"
"312","STPG2","ASIC5","TSEN15"
"313","CKM","OR1E1","IL5RA"
"314","OR52E4","CCDC116","POLR1D"
"315","OR2V2","AWAT1","NETO1"
"316","LCE4A","SLC2A11","ULBP3"
"317","TEX55","THAP8","PCDH7"
"318","FOXI2","SEZ6L","ADGRA3"
"319","MYCBPAP","IRX4","SPAG1"
"320","C12orf42","ISM2","OTOL1"
"321","DCSTAMP","ODAD1","C15orf62"
"322","OR2AT4","FBN3","PPFIA2"
"323","PRR19","NUTM2A","KIF6"
"324","OR8K1","EFCC1","DHRS7"
"325","CRMA","EVC2","TRAF5"
"326","GLP1R","ADAMTSL1","GSDME"
"327","FGF6","CAMK1G","BGN"
"328","PCDHA4","NPB","LINC02914"
"329","SCN5A","SPI1","XPO4"
"330","DRD5","SYT7","OR13C5"
"331","CRYGC","GDPD4","HBEGF"
"332","JKAMP","FOXI2","TAFA1"
"333","LINC02145","CKM","SLC15A2"
"334","CUX2","ZNF80","TM9SF2"
"335","KCNJ13","PYY2","DDIT4L"
"336","AMER1","CLEC4F","COX6B1"
"337","PRR12","ENPP7","LRATD2"
"338","LINGO1","CACNA1C","THSD7B"
"339","PXMP4","LCE1A","TRIB1"
"340","MAPT","SAMD14","C9orf43"
"341","SLC22A12","KCNN1","MAEL"
"342","PRKN","LINC02880","APOD"
"343","OR4L1","PRSS41","M1AP"
"344","MICOS10","RNF170","PRR29"
"345","DNAJB13","GALR3","KLK2"
"346","SPMAP1","SLC22A20P","PLPP7"
"347","IQSEC2","PDILT","KCNK16"
"348","MGAT5B","LINC02914","NTN5"
"349","VSTM5","AMIGO1","PRODH2"
"350","NXPH4","LHFPL4","CACNA1F"
"351","APC2","LINGO1","CCBE1"
"352","ASIC3","F8","C6"
"353","PHPT1","C6","CSF1R"
"354","HSD11B1L","MYO16","CHN2"
"355","PRODH2","DENND1C","GHRHR"
"356","RNF170","EVPL","CAMKV"
"357","HEPN1","NMBR","RPS6KA6"
"358","TMEM129","CCDC13","TP53AIP1"
"359","DIPK1B","ERICH3","PROSER1"
"360","NFIC","DCSTAMP","TTC16"
"361","PCNX2","KISS1R","ACP6"
"362","FBN3","CACNG3","FEV"
"363","OR51A7","SNX9","EWSAT1"
"364","CRLF1","C3orf18","GRIN2D"
"365","GALNT1","IL3","SLC22A3"
"366","NTN3","OR56B1","HTRA1"
"367","CDH16","GCM2","OR10H5"
"368","OR9Q1","GRXCR2","KDM2B"
"369","MPPED1","NFIC","CALB2"
"370","ASIC5","ZMAT4","TRIM2"
"371","RPH3AL","ESPNL","CACNA1A"
"372","IRX5","GDF7","FOXE1"
"373","ATP6AP1L","CACNG8","DCST1"
"374","NEK8","C8orf17","PPBPP2"
"375","TCF15","GPR151","ENTREP2"
"376","TEX44","FOXN1","GABRG3"
"377","PNCK","ZNF804A","RAB25"
"378","MAPK8IP1","CA6","SCN4B"
"379","INCA1","ZSCAN23","PRPF6"
"380","MYT1","DIPK1B","FPR2"
"381","EXOC3L2","OR8K1","TRPM1"
"382","PTPRN","OPN5","LRRC69"
"383","PCDHGC5","DMRTA1","APLN"
"384","CYP2B6","APLP1","IFT74"
"385","SPATA31D3","NR5A1","CACNA1E"
"386","ZDHHC19","PPFIA2","PDE3A"
"387","CNIH2","STARD8","THEM4"
"388","CARMIL2","OR52A4P","GLT1D1"
"389","EVC2","ANO4","CLNK"
"390","SPATA31H1","WDR97","CHAMP1"
"391","NPFFR1","CRYGC","EPPK1"
"392","RTN4RL2","SPATA31D3","RNF6"
"393","MLLT6","OR4C6","GTF2F2"
"394","PTPRS","ISL1","SERF1A"
"395","TTLL8","ADAMTS18","DHDH"
"396","LILRA3","ALDOAP2","NMNAT2"
"397","ATP6V0A1","LCE2B","RUNX1T1"
"398","CSF3","MPP2","TEX13A"
"399","FRMPD1","ASIC3","ITPKA"
"400","ZNF24","PATE2","GAPT"
"401","OR52E2","HHAT","SLC66A1"
"402","RCVRN","PRCD","PLXDC2"
"403","SEC31B","PRKAG3","PALM3"
"404","CHERP","HAS1","PCMTD1"
"405","C15orf40","KRTCAP3","LCE2C"
"406","SLC8A2","C7","MTIF3"
"407","ADM2","BTNL2","TSL"
"408","STKLD1","TTLL8","SCRN1"
"409","ABCC8","SPANXN2","LHFPL4"
"410","ZMAT4","YIPF1","GARIN4"
"411","KRT81","NXPH4","OR5I1"
"412","CFAP52","CHRNB4","PGM5"
"413","JPH4","NT5C1B","DUSP5"
"414","OR5AK2","CFAP126","NEUROD1"
"415","NFE4","SPOPL","CLCA3P"
"416","ZBTB8OS","ATP4A","KNCN"
"417","GDF7","CIMAP1C","ANOS1"
"418","TNFRSF8","ENDOV","COL10A1"
"419","UGT3A2","ZNF671","RGN"
"420","DLX4","PCDHA12","DPPA3"
